ตาราง 17.3 นักท่องเที่ยวชาวต่างชาติที่เข้ามาประเทศไทย จำแนกตามสัญชาติ พ.ศ. 2564 - 2566,,,,,,,,,,
Table 17.3 International Tourist Arrivals to Thailand by Nationality: 2021 - 2023,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,(คน Person)
ทวีป,ภูมิภาค,สัญชาติ,2564 (2021)_จำนวน (Value),2565 (2022)r_จำนวน (Value),2566 (2023)p_จำนวน (Value),2565 (2022)_อัตราการเปลี่ยนแปลง (Percent change),2566 (2023)_อัตราการเปลี่ยนแปลง (Percent change),Continent ,Regions,Country of Nationality
รวมยอด,,,427869,11065226,28150016,2486.1,154.4,Total,,
เอเชียและแปซิฟิก,เอเชียและแปซิฟิก,,96557,7472306,20177758,7638.8,170.0,Asia and the Pacific,,
เอเชียและแปซิฟิก,เอเชียตะวันออกเฉียงใต้,,32820,4588280,9822280,13880.1,114.1,Asia and the Pacific,South-East Asia,
เอเชียและแปซิฟิก,เอเชียตะวันออกเฉียงใต้,มาเลเซีย,5511,1949530,4626422,35275.2,137.3,Asia and the Pacific,South-East Asia,Malaysia
เอเชียและแปซิฟิก,เอเชียตะวันออกเฉียงใต้,สิงคโปร์,5931,610169,1027424,10187.8,68.4,Asia and the Pacific,South-East Asia,Singapore
เอเชียและแปซิฟิก,เอเชียตะวันออกเฉียงใต้,ฟิลิปปินส์,4078,168970,461251,4043.5,173.0,Asia and the Pacific,South-East Asia,Philippines
เอเชียและแปซิฟิก,เอเชียตะวันออกเฉียงใต้,อินโดนีเซีย,2577,231747,762118,8892.9,228.9,Asia and the Pacific,South-East Asia,Indonesia
เอเชียและแปซิฟิก,เอเชียตะวันออกเฉียงใต้,เวียดนาม,1794,458789,1033688,25473.5,125.3,Asia and the Pacific,South-East Asia,Vietnam
เอเชียและแปซิฟิก,เอเชียตะวันออกเฉียงใต้,ลาว,733,487215,919401,66368.6,88.7,Asia and the Pacific,South-East Asia,Laos
เอเชียและแปซิฟิก,เอเชียตะวันออกเฉียงใต้,กัมพูชา,4914,464141,583708,9345.3,25.8,Asia and the Pacific,South-East Asia,Cambodia
เอเชียและแปซิฟิก,เอเชียตะวันออกเฉียงใต้,พม่า,7256,211925,394134,2820.7,86.0,Asia and the Pacific,South-East Asia,Myanmar
เอเชียและแปซิฟิก,เอเชียตะวันออกเฉียงใต้,บรูไน,26,5794,14134,22184.6,143.9,Asia and the Pacific,South-East Asia,Brunei
