ตาราง  17.2  สถานการณ์การท่องเที่ยวในประเทศ จำแนกตามภาค และจังหวัด พ.ศ. 2565 - 2566,,,,,,,,,,,,,,,
Table   17.2  Domestic Tourism Statistics by Region and Province: 2022 - 2023,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ภาค,จังหวัด,2565 (2022)_จำนวนผู้เข้าพัก (คน) (Numberof tourists accommodation (Person)),2565 (2022)_อัตราการเข้าพัก (Occupancy rate),2565 (2022)_จำนวนผู้เยี่ยมเยือน(คน) (Number of visitors (Person)),2565 (2022)_รายได้จากผู้เยี่ยมเยือน(ล้านบาท) (Receipts from visitors (Million Baht)),2566 (2023)p_จำนวนผู้เข้าพัก (คน) (Number of tourists accommodation (Person)),2566 (2023)p_อัตราการเข้าพัก (Occupancy rate),2566 (2023)p_จำนวนผู้เยี่ยมเยือน(คน) (Number of visitors(Person)),2566 (2023)p_รายได้จากผู้เยี่ยมเยือน (ล้านบาท) (Receipts from visitors (Million Baht)),อัตราการเปลี่ยนแปลง (Percent change)_จำนวนผู้เข้าพัก (คน) (Number of tourists accommodation (Person)),อัตราการเปลี่ยนแปลง (Percent change)_อัตราการเข้าพัก (Occupancy rate),อัตราการเปลี่ยนแปลง (Percent change)_จำนวนผู้เยี่ยมเยือน(คน) (Number of visitors(Person)),อัตราการเปลี่ยนแปลง (Percent change)_รายได้จากผู้เยี่ยมเยือน(ล้านบาท) (Receipts from visitors (Million Baht)),Region,Province
ภาคตะวันออกเฉียงเหนือ,ชัยภูมิ,592398,37.28,1060788,1521.40,805247,57.80,1653013,2484.95,35.93,20.52,55.83,63.33,Northeastern Region,Chaiyaphum
ภาคตะวันออกเฉียงเหนือ,อำนาจเจริญ,69396,33.07,227005,259.05,71360,34.74,244385,429.34,2.83,1.67,7.66,65.74,Northeastern Region,Amnat Charoen
ภาคตะวันออกเฉียงเหนือ,บึงกาฬ,374711,50.46,729738,1226.37,396773,53.13,853426,1594.98,5.89,2.67,16.95,30.06,Northeastern Region,Bueng Kan
ภาคตะวันออกเฉียงเหนือ,หนองบัวลำภู,88372,30.18,288780,274.66,97733,38.76,316435,366.31,10.59,8.58,9.58,33.37,Northeastern Region,Nong Bua Lam Phu
ภาคตะวันออกเฉียงเหนือ,ขอนแก่น,1703314,48.66,3494103,9738.39,1872905,57.27,3923536,11300.98,9.96,8.61,12.29,16.05,Northeastern Region,Khon Kaen
ภาคตะวันออกเฉียงเหนือ,อุดรธานี,1256612,46.90,3183266,6471.46,1620708,64.27,4333790,11994.76,28.97,17.37,36.14,85.35,Northeastern Region,Udon Thani
ภาคตะวันออกเฉียงเหนือ,เลย,1045065,47.01,1718386,3409.43,1261253,64.73,2173453,5080.22,20.69,17.72,26.48,49.00,Northeastern Region,Loei
ภาคตะวันออกเฉียงเหนือ,หนองคาย,786530,49.61,2122150,3492.84,1038747,65.20,3157890,7233.20,32.07,15.59,48.81,107.09,Northeastern Region,Nong Khai
ภาคตะวันออกเฉียงเหนือ,มหาสารคาม,275513,43.10,555591,744.73,292134,51.28,760256,1232.61,6.03,8.18,36.84,65.51,Northeastern Region,Maha Sarakham
ภาคตะวันออกเฉียงเหนือ,ร้อยเอ็ด,265026,31.98,613329,838.46,346541,46.46,804841,1163.50,30.76,14.48,31.23,38.77,Northeastern Region,Roi Et
ภาคตะวันออกเฉียงเหนือ,กาฬสินธุ์,234604,42.25,646100,824.01,288193,52.22,919202,1462.65,22.84,9.97,42.27,77.50,Northeastern Region,Kalasin
ภาคตะวันออกเฉียงเหนือ,สกลนคร,599118,44.99,1565355,2257.71,625676,47.24,1631112,2811.58,4.43,2.25,4.20,24.53,Northeastern Region,Sakon Nakhon
ภาคตะวันออกเฉียงเหนือ,นครพนม,608327,64.01,1548632,2424.20,806254,76.77,2204220,3526.49,32.54,12.76,42.33,45.47,Northeastern Region,Nakhon Phanom
ภาคตะวันออกเฉียงเหนือ,มุกดาหาร,434148,45.16,1630030,2520.13,419111,44.13,1735548,3246.86,-3.46,-1.03,6.47,28.84,Northeastern Region,Mukdahan
ภาคใต้,รวม,17517554,39.46,24559750,314205.61,27277176,72.06,44874095,642277.36,55.71,32.60,82.71,104.41,Southern Region,Total
ภาคใต้,นครศรีธรรมราช,1319276,39.68,2044136,6297.35,2231655,68.16,4021076,13295.81,69.16,28.48,96.71,111.13,Southern Region,Nakhon Si Thammarat
ภาคใต้,กระบี่,1159933,24.91,1820724,21763.31,1807123,68.66,3803375,52500.69,55.80,43.75,108.89,141.23,Southern Region,Krabi
ภาคใต้,พังงา,652840,32.78,1411045,15609.00,838373,61.99,2910157,28494.55,28.42,29.21,106.24,82.55,Southern Region,Phang-nga
ภาคใต้,ภูเก็ต,4918168,41.97,5767471,192039.99,9215019,77.99,11300498,388017.18,87.37,36.02,95.94,102.05,Southern Region,Phuket
ภาคใต้,สุราษฎร์ธานี,2972157,42.63,3953035,37844.20,4963970,73.57,7610366,86557.91,67.02,30.94,92.52,128.72,Southern Region,Surat Thani
ภาคใต้,ระนอง,375854,39.83,518653,1487.01,464658,53.16,716123,2806.11,23.63,13.33,38.07,88.71,Southern Region,Ranong
ภาคใต้,ชุมพร,868877,42.99,1098198,3670.85,1137924,58.03,1584245,5605.64,30.96,15.04,44.26,52.71,Southern Region,Chumphon
ภาคใต้,สงขลา,2028071,36.10,2921488,18174.28,2755465,70.67,5128081,35590.11,35.87,34.57,75.53,95.83,Southern Region,Songkhla
ภาคใต้,สตูล,893020,49.69,1610061,6937.58,1017666,61.46,2137713,10037.20,13.96,11.77,32.77,44.68,Southern Region,Satun
ภาคใต้,ตรัง,703934,42.27,1006231,4080.08,800536,53.59,1369940,7232.49,13.72,11.32,36.15,77.26,Southern Region,Trang
ภาคใต้,พัทลุง,363211,40.52,652187,1292.08,507005,62.07,1400448,2375.37,39.59,21.55,114.73,83.84,Southern Region,Phatthalung
ภาคใต้,ปัตตานี,175733,35.04,255452,735.77,191233,48.22,442382,1468.47,8.82,13.18,73.18,99.58,Southern Region,Pattani
ภาคใต้,ยะลา,818765,58.38,1070066,3047.16,964523,72.13,1657692,5115.65,17.80,13.75,54.91,67.88,Southern Region,Yala
ภาคใต้,นราธิวาส,267715,33.01,431003,1226.95,382026,55.96,791999,3180.18,42.70,22.95,83.76,159.19,Southern Region,Narathiwat
,,,,,,,,,,,,,,,
ที่มา: กระทรวงการท่องเที่ยวและกีฬา,,,,,,,,,,,,,,,
Source: Ministry of Tourism and Sports,,,,,,,,,,,,,,,
