ตาราง 10.5 รายได้ประชาชาติ จำแนกตามราคาประจำปี และประเภทรายได้ พ.ศ. 2563 - 2565,,,,
Table 10.5 National Income by Current Market Prices and Type of Income: 2020 - 2022,,,,
,,,,
,,,,(ล้านบาท  Million Baht)
ประเภทรายได้,2563 (2020)r ,2564 (2021),2565 (2022)p,Type of income
ค่าตอบแทนแรงงาน,5006559,5064442,5404914,Compensation of employees
รายได้จากทรัพย์สินและการประกอบการ,5890827,6083816,6907198,Income from property and entrepreneurship
รายได้จากทรัพย์สิน (สุทธิ),729270,766295,830694,Income from property (Net)
ครัวเรือน และสถาบันไม่แสวงกำไรฯ,740820,768480,839402,Households and non-profit institutions
รัฐบาล,-11550,-2185,-8708,Government
รายได้จากการประกอบการ,5161557,5317521,6076504,Income from entrepreneurship
ครัวเรือน และสถาบันไม่แสวงกำไรฯ,3098905,2976431,3356259,Households and non-profit institutions
นิติบุคคล,2062652,2341090,2720245,Corporations
ภาษีการผลิตและการนำเข้า (สุทธิ),1442566,1437460,1436083,Taxes on production and imports  less subsidies (Net)
ค่าเสื่อมราคา,2974143,3040598,3130027,Consumption of fixed capital
รายได้ประชาชาติ,15314095,15626316,16878222,National income
รายได้ประชาชาติต่อคน (บาท),220318,224233,241632,National income per capita (Baht)
,,,,
 ที่มา: สำนักงานสภาพัฒนาการเศรษฐกิจและสังคมแห่งชาติ  สำนักนายกรัฐมนตรี,,,,
" Source: Office of the National Economic and Social Development Council,  Office of the Prime Minister",,,,
