ตาราง 10.15 ผลิตภัณฑ์ภาค และจังหวัด จำแนกตามแบบปริมาณลูกโซ่ (ปีอ้างอิง พ.ศ. 2545) พ.ศ. 2563 - 2565,,,,,,,,,
Table 10.15 Gross Regional and Provincial Product by Chain Volume Measures (Reference Year = 2002): 2020 - 2022,,,,,,,,,
,,,,,,,,,
ภาค,จังหวัด,2563 (2020)_ผลิตภัณฑ์ภาค และจังหวัด (ล้านบาท) (Gross Regional and Provincial Product (Million Baht)),2564 (2021)_ผลิตภัณฑ์ภาค และจังหวัด (ล้านบาท) (Gross Regional and Provincial Product (Million Baht)),2565 (2022)_ผลิตภัณฑ์ภาค และจังหวัด (ล้านบาท) (Gross Regional and Provincial Product (Million Baht)),2563 (2020)_ต่อคน(บาท)  (Per capita)(Baht) (1) ,2564 (2021)_ต่อคน(บาท)  (Per capita)(Baht) (1),2565 (2022)_ต่อคน(บาท)  (Per capita)(Baht) (1),Region,Province
ภาคตะวันออกเฉียงเหนือ,บุรีรัมย์,54265,56841,57793,44839,47311,48460,Northeastern Region,Buri Ram
ภาคตะวันออกเฉียงเหนือ,สุรินทร์,49511,49863,49115,46778,47498,47173,Northeastern Region,Surin
ภาคตะวันออกเฉียงเหนือ,ศรีสะเกษ,42159,42721,42463,44117,45260,45536,Northeastern Region,Si Sa Ket
ภาคตะวันออกเฉียงเหนือ,อุบลราชธานี,78645,81050,81152,45334,46780,46909,Northeastern Region,Ubon Ratchathani
ภาคตะวันออกเฉียงเหนือ,ยโสธร,17485,18309,18234,38405,40552,40730,Northeastern Region,Yasothon
ภาคตะวันออกเฉียงเหนือ,ชัยภูมิ,39294,40637,40271,42195,43885,43742,Northeastern Region,Chaiyaphum
ภาคตะวันออกเฉียงเหนือ,อำนาจเจริญ,11532,12332,12288,40908,43802,43708,Northeastern Region,Amnat Charoen
ภาคตะวันออกเฉียงเหนือ,หนองบัวลำภู,17337,18288,18205,36548,38707,38690,Northeastern Region,Nong Bua Lam Phu
ภาคตะวันออกเฉียงเหนือ,ขอนแก่น,130478,132269,130875,76137,77291,76599,Northeastern Region,Khon Kaen
ภาคตะวันออกเฉียงเหนือ,อุดรธานี,69275,71503,72010,55094,57065,57677,Northeastern Region,Udon Thani
ภาคตะวันออกเฉียงเหนือ,เลย,31662,32882,33123,58662,61136,61809,Northeastern Region,Loei
ภาคตะวันออกเฉียงเหนือ,หนองคาย,23956,25014,25536,52609,54999,56222,Northeastern Region,Nong Khai
ภาคตะวันออกเฉียงเหนือ,มหาสารคาม,35389,37059,36909,45351,47838,47998,Northeastern Region,Maha Sarakham
ภาคตะวันออกเฉียงเหนือ,ร้อยเอ็ด,45764,47044,46492,43325,44786,44513,Northeastern Region,Roi Et
ภาคตะวันออกเฉียงเหนือ,กาฬสินธุ์,34807,35901,36712,43928,45553,46840,Northeastern Region,Kalasin
ภาคตะวันออกเฉียงเหนือ,สกลนคร,36478,37208,38400,39739,40703,42188,Northeastern Region,Sakon Nakhon
ภาคตะวันออกเฉียงเหนือ,นครพนม,25041,26051,26361,45340,47533,48476,Northeastern Region,Nakhon Phanom
ภาคตะวันออกเฉียงเหนือ,มุกดาหาร,16266,17518,17063,39102,41557,39979,Northeastern Region,Mukdahan
ภาคตะวันออกเฉียงเหนือ,บึงกาฬ,33943,36119,38087,94647,100986,106789,Northeastern Region,Bueng Kan
ภาคใต้,รวม,769200,744947,768583,79764,76842,78883,Southern Region,Total
ภาคใต้,นครศรีธรรมราช,104478,104216,101027,68948,68587,66303,Southern Region,Nakhon Si Thammarat
ภาคใต้,กระบี่,41724,40395,43005,98310,94485,99879,Southern Region,Krabi
ภาคใต้,พังงา,29895,25336,28577,119814,101681,114874,Southern Region,Phang-nga
ภาคใต้,ภูเก็ต,103778,75298,110648,174350,125070,181878,Southern Region,Phuket
ภาคใต้,สุราษฎร์ธานี,106536,103535,114261,92663,89480,98146,Southern Region,Surat Thani
ภาคใต้,ระนอง,19472,18740,17903,69834,66139,62223,Southern Region,Ranong
ภาคใต้,ชุมพร,56683,58126,51112,113410,116120,101976,Southern Region,Chumphon
ภาคใต้,สงขลา,154930,158325,155806,93171,94465,92266,Southern Region,Songkhla
ภาคใต้,สตูล,21251,20965,19954,72135,70676,66822,Southern Region,Satun
ภาคใต้,ตรัง,38612,39227,39433,61134,62023,62275,Southern Region,Trang
ภาคใต้,พัทลุง,20711,21153,21523,42109,43014,43780,Southern Region,Phatthalung
ภาคใต้,ปัตตานี,31436,32265,32367,48686,49820,49838,Southern Region,Pattani
ภาคใต้,ยะลา,25302,26207,23396,53294,54848,48664,Southern Region,Yala
ภาคใต้,นราธิวาส,21555,22694,21174,29556,30962,28750,Southern Region,Narathiwat
,,,,,,,,,
"(1) ต่อคน : ประชากร (1,000 คน) จากรายงานการคาดประมาณประชากรของประเทศไทย พ.ศ. 2553 - 2583 (ฉบับปรับปรุง)",,,,,,,,,
"(1) Per capita : Population (1,000 persons) based on Report of the  Population Projection for Thailand: 2010 - 2040 (Revision)",,,,,,,,,
ที่มา: สำนักงานสภาพัฒนาการเศรษฐกิจและสังคมแห่งชาติ  สำนักนายกรัฐมนตรี,,,,,,,,,
"Source: Office of the National Economic and Social Development Council,  Office of the Prime Minister",,,,,,,,,
