ตาราง 10.14 ผลิตภัณฑ์ภาค และจังหวัด จำแนกตามราคาประจำปี พ.ศ. 2563 - 2565,,,,,,,,,
Table 10.14 Gross Regional and Provincial Product by Current Market Prices: 2020 - 2022,,,,,,,,,
,,,,,,,,,
ภาค,จังหวัด,2563 (2020)_ผลิตภัณฑ์ภาคและจังหวัด (ล้านบาท) (Gross Regional and Provincial Product (Million Baht)),2564 (2021)_ผลิตภัณฑ์ภาค และจังหวัด (ล้านบาท) (Gross Regional and Provincial Product (Million Baht)),2565 (2022)_ผลิตภัณฑ์ภาค และจังหวัด (ล้านบาท) (Gross Regional and Provincial Product (Million Baht)),2563 (2020)_ต่อคน(บาท)  (Per capita)(Baht) (1) ,2564 (2021)_ต่อคน(บาท)  (Per capita)(Baht)(1),2565 (2022)_ต่อคน(บาท)  (Per capita)(Baht) (1),Region,Province
ภาคตะวันออกเฉียงเหนือ,สุรินทร์,85619,86282,88659,80893,82188,85152,Northeastern Region,Surin
ภาคตะวันออกเฉียงเหนือ,ศรีสะเกษ,77864,78738,80438,81480,83417,86259,Northeastern Region,Si Sa Ket
ภาคตะวันออกเฉียงเหนือ,อุบลราชธานี,131720,136566,141089,75929,78823,81555,Northeastern Region,Ubon Ratchathani
ภาคตะวันออกเฉียงเหนือ,ยโสธร,30383,31755,32468,66735,70333,72523,Northeastern Region,Yasothon
ภาคตะวันออกเฉียงเหนือ,ชัยภูมิ,65986,69145,73528,70859,74672,79864,Northeastern Region,Chaiyaphum
ภาคตะวันออกเฉียงเหนือ,อำนาจเจริญ,20614,21944,22928,73122,77938,81556,Northeastern Region,Amnat Charoen
ภาคตะวันออกเฉียงเหนือ,หนองบัวลำภู,28243,30444,31696,59538,64435,67363,Northeastern Region,Nong Bua Lam Phu
ภาคตะวันออกเฉียงเหนือ,ขอนแก่น,207456,212589,216367,121055,124226,126636,Northeastern Region,Khon Kaen
ภาคตะวันออกเฉียงเหนือ,อุดรธานี,109491,114596,120539,87078,91456,96546,Northeastern Region,Udon Thani
ภาคตะวันออกเฉียงเหนือ,เลย,52922,56960,61176,98051,105903,114156,Northeastern Region,Loei
ภาคตะวันออกเฉียงเหนือ,หนองคาย,41794,44262,47315,91782,97321,104175,Northeastern Region,Nong Khai
ภาคตะวันออกเฉียงเหนือ,มหาสารคาม,63266,66374,67773,81077,85680,88134,Northeastern Region,Maha Sarakham
ภาคตะวันออกเฉียงเหนือ,ร้อยเอ็ด,81397,83431,83818,77059,79426,80249,Northeastern Region,Roi Et
ภาคตะวันออกเฉียงเหนือ,กาฬสินธุ์,58431,61355,65764,73742,77851,83907,Northeastern Region,Kalasin
ภาคตะวันออกเฉียงเหนือ,สกลนคร,64481,66195,70457,70247,72415,77408,Northeastern Region,Sakon Nakhon
ภาคตะวันออกเฉียงเหนือ,นครพนม,45698,47732,50217,82741,87092,92347,Northeastern Region,Nakhon Phanom
ภาคตะวันออกเฉียงเหนือ,มุกดาหาร,25778,28305,28973,61967,67145,67885,Northeastern Region,Mukdahan
ภาคตะวันออกเฉียงเหนือ,บึงกาฬ,25534,28755,31755,71199,80398,89033,Northeastern Region,Bueng Kan
ภาคใต้,รวม,1280881,1279719,1391168,132824,132005,142781,Southern Region,Total
ภาคใต้,นครศรีธรรมราช,178921,184045,191317,118076,121124,125560,Southern Region,Nakhon Si Thammarat
ภาคใต้,กระบี่,70338,71912,82055,165731,168203,190573,Southern Region,Krabi
ภาคใต้,พังงา,53815,46623,55941,215684,187115,224869,Southern Region,Phang-nga
ภาคใต้,ภูเก็ต,139206,100416,153478,233871,166790,252279,Southern Region,Phuket
ภาคใต้,สุราษฎร์ธานี,178690,180008,209990,155421,155571,180373,Southern Region,Surat Thani
ภาคใต้,ระนอง,30054,30063,29866,107789,106102,103800,Southern Region,Ranong
ภาคใต้,ชุมพร,125370,132305,119364,250836,264311,238147,Southern Region,Chumphon
ภาคใต้,สงขลา,230554,243418,254368,138650,145236,150634,Southern Region,Songkhla
ภาคใต้,สตูล,32630,33531,33595,110758,113038,112502,Southern Region,Satun
ภาคใต้,ตรัง,64548,68991,73425,102199,109085,115957,Southern Region,Trang
ภาคใต้,พัทลุง,37932,40096,42847,77121,81534,87154,Southern Region,Phatthalung
ภาคใต้,ปัตตานี,48480,50909,53029,75082,78607,81652,Southern Region,Pattani
ภาคใต้,ยะลา,48075,51365,47059,101259,107498,97883,Southern Region,Yala
ภาคใต้,นราธิวาส,42267,46036,44835,57957,62808,60876,Southern Region,Narathiwat
,,,,,,,,,
"(1) ต่อคน : ประชากร (1,000 คน) จากรายงานการคาดประมาณประชากรของประเทศไทย พ.ศ. 2553 - 2583 (ฉบับปรับปรุง)",,,,,,,,,
"(1) Per capita : Population (1,000 persons) based on Report of the  Population Projection for Thailand: 2010 - 2040 (Revision)",,,,,,,,,
ที่มา: สำนักงานสภาพัฒนาการเศรษฐกิจและสังคมแห่งชาติ  สำนักนายกรัฐมนตรี,,,,,,,,,
"Source: Office of the National Economic and Social Development Council,  Office of the Prime Minister",,,,,,,,,
