ตาราง 10.2 ผลิตภัณฑ์มวลรวมในประเทศ จำแนกตามราคาประจำปี และสาขาการผลิต พ.ศ. 2563 - 2565,,,,
Table 10.2 Gross Domestic Product by Current Market Prices and Economic Activities: 2020 - 2022,,,,
,,,,
,,,,(ล้านบาท  Million Baht)
สาขาการผลิต,2563 (2020)r ,2564 (2021),2565 (2022)p,Economic activities
ภาคเกษตร,1362979,1407097,1516169,Agriculture
เกษตรกรรม การป่าไม้ และการประมง,1362979,1407097,1516169,"Agriculture, forestry and fishing"
ภาคนอกเกษตร,14298315,14781514,15861848,Non-agriculture
หมวดอุตสาหกรรม,4791808,5236385,5670190,Industrial
การทำเหมืองแร่และเหมืองหิน,324142,357577,388511,Mining and quarrying
การผลิตอุตสาหกรรม,4002295,4398057,4701012,Manufacturing
ไฟฟ้า ก๊าซ ไอน้ำ และระบบปรับอากาศ,397176,408030,504309,"Electricity, gas, steam and air conditioning  supply"
การประปาและการจัดการของเสีย,68195,72721,76358,"Water supply; sewerage, waste management and remediation activities"
หมวดบริการ,9506507,9545129,10191658,Services
การก่อสร้าง,421949,437666,438546,Construction
การขายส่งและการขายปลีก การซ่อมยานยนต์ และจักรยานยนต์,2647753,2629061,2679283,Wholesale and retail trade; repair of motor vehicles and motorcycles
การขนส่งและสถานที่เก็บสินค้า,751580,744308,819372,Transportation and storage
ที่พักแรมและบริการด้านอาหาร,605245,515304,740733,Accommodation and food service activities
ข้อมูลข่าวสารและการสื่อสาร,434607,458391,489304,Information and communication
การเงินและการประกันภัย,1289551,1347409,1456437,Financial and insurance activities
กิจกรรมอสังหาริมทรัพย์,428205,436434,448799,Real estate activities
กิจกรรมวิชาชีพ วิทยาศาสตร์ และกิจกรรมทางวิชาการ,275419,274215,293214,"Professional, scientific and technical activities"
กิจกรรมการบริหารและบริการสนับสนุนอื่น ๆ,211981,201703,218710,Administrative and support service activities
การบริหารราชการ การป้องกันประเทศ ๆ,1026559,1053960,1076415,Public administration and defence; compulsory social security
การศึกษา,691825,705971,735599,Education
กิจกรรมด้านสุขภาพและงานสังคมสงเคราะห์,387897,410162,444647,Human health and social work activities
ศิลปะ ความบันเทิง และนันทนาการ,102293,108489,112659,"Arts, entertainment and recreation"
กิจกรรมการบริการด้านอื่นๆ,202788,193492,207798,Other service activities
ลูกจ้างในครัวเรือนส่วนบุคคล,28855,28564,30142,Activities of households as employers
ผลิตภัณฑ์มวลรวมในประเทศ,15661294,16188611,17378017,Gross Domestic Product (GDP)
บวก: ผลตอบแทนปัจจัยการผลิตสุทธิจากต่างประเทศ,-347199,-562295,-499795,Plus: Net primary income from the rest of the world
รายได้ประชาชาติ,15314095,15626316,16878222,Gross National Income (GNI) 
หัก: ค่าเสื่อมราคาสินทรัพย์ถาวร,2974143,3040598,3130027,less: Consumption of fixed capital
รายได้ประชาชาติสุทธิ,12339952,12585718,13748195,Net National Income (NNI) 
ผลิตภัณฑ์มวลรวมในประเทศต่อคน (บาท),225313,232301,248787,Per Capita GDP (Baht)
รายได้ประชาชาติต่อคน (บาท),220318,224233,241632,Per Capita GNI (Baht)
"ประชากร (1,000 คน)",69509,69688,69851,"Population (1,000 persons)"
,,,,
ที่มา:  สำนักงานสภาพัฒนาการเศรษฐกิจและสังคมแห่งชาติ  สำนักนายกรัฐมนตรี,,,,
"Source:  Office of the National Economic and Social Development Council,  Office of the Prime Minister",,,,
