ตาราง 21.10 รายได้ของกรมป่าไม้ ปีงบประมาณ 2563 - 2565   ,,,,
Table 21.10 Revenue of Royal Forest Department: Fiscal Years 2020 - 2022  ,,,,
,,,,
,,,,(พันบาท  Thousand Baht)
รายการ,2563 (2020),2564 (2021),2565 (2022),Item
รวมยอด,74932,70475,93804,Total
ค่าภาคหลวง ,805,906,809,Royalty
ค่าภาคหลวง ไม้สัก,210,354,471,Royalty Teak
ค่าภาคหลวง ไม้กระยาเลย,404,260,292,Royalty Other woods
ค่าภาคหลวง ไม้ฟืน ถ่าน และของป่าอื่น ๆ,191,292,46,Royalty Firewood charcoal and others
ค่าธรรมเนียม ,5456,3020,4010,Fee
ค่าธรรมเนียม ใบอนุญาตอื่น,2038,-   ,1882,Fee Other license
ค่าธรรมเนียม บำรุงป่า,2408,1551,678,Fee Forest improvement
ค่าธรรมเนียม เบ็ดเตล็ด,-   ,1469,-   ,Fee Miscellaneous
ค่าธรรมเนียม บริการอื่น,1010,-   ,1450,Fee Other service
ค่าขายไม้,1436,1855,2884,Sale of Timber
ค่าใบอนุญาตด้านป่าไม้,38339,56408,46096,Licence fee
ค่าขายของกลาง,-   ,9,-   ,Sale of confiscated goods
ค่าขายของเบ็ดเตล็ด,792,654,877,Sale of miscellaneous
ค่าขายเอกสารจัดซื้อจัดจ้าง,84,-   ,14,Sales of procurement document
ค่าเช่าอสังหาริมทรัพย์ - บุคคลภายนอก,14,-   ,23,Real estate rental - outsiders
รายได้จากค่าปรับอื่น,2144,4120,739,Income from other fines
รายรับจากการขายอาคารและสิ่งปลูกสร้าง,4,-   ,-   ,Revenue from sales of buildings and structures 
รายรับจากการขายครุภัณฑ์,5,-   ,701,Revenue from sales of equipment
รายได้จากดอกเบี้ยเงินฝากที่สถาบันการเงิน,38,-   ,95,Income from interest on deposits at financial institutions
รายได้จากค่าปรับเปรียบเทียบคดี,25754,-   ,17129,Income from case fines
รายได้จากการริบทรัพย์และการชดเชย,61,-   ,153,Income from forfeiture and compensation
รายได้เบ็ดเตล็ด,-   ,3504,-   ,Miscellaneous income
รายได้ดอกเบี้ยอื่น,-   ,-   ,11,Interest incomes
รายได้เงินเหลือจ่าย,-   ,-   ,4263,Disposable income
รายได้ที่มิใช่ภาษีอื่น,-   ,-   ,16000,Non - taxable income
,,,,
ที่มา: กรมป่าไม้ กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,,,,
"Source: Royal Forest Department,  Ministry of Natural Resources and Environment",,,,
