ตาราง 21.8 ผู้ใช้ ปริมาณการผลิต และการจำหน่ายน้ำประปา ปีงบประมาณ 2564 - 2566,,,,,,,,,,
"Table 21.8 Consumer, Production and Sale of Waterworks: Fiscal Years 2021 - 2023",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,(ปริมาณเป็นล้านลูกบาศก์เมตร  Quantities in million cubic metres)
การประปา,รายการ,ประเภท,2564 (2021),2565 (2022),2566 (2023),อัตราการเปลี่ยนแปลง (Percent change) 2565 (2022),อัตราการเปลี่ยนแปลง (Percent change) 2566 (2023),Waterworks Authority,Item,Type
การประปานครหลวง(1),ผู้ใช้น้ำ (ราย),รวม,2517486,2558418,2606167,1.6,1.9,The Metropolitan Waterworks Authority(1),Customer (case),Total
การประปานครหลวง(1),ผู้ใช้น้ำ (ราย),ประเภทที่อยู่อาศัย,2062299,2109493,2155257,2.3,2.2,The Metropolitan Waterworks Authority(1),Customer (case),Residence
การประปานครหลวง(1),ผู้ใช้น้ำ (ราย),ประเภทธุรกิจ รัฐวิสาหกิจ ราชการ และอื่น ๆ,455187,448925,450910,-1.4,0.4,The Metropolitan Waterworks Authority(1),Customer (case),"Business, state enterprise, government agency and others"
การประปานครหลวง(1),ปริมาณการผลิต,,2116.5,2080.3,2042.4,-1.7,-1.8,The Metropolitan Waterworks Authority(1),Water production,
การประปานครหลวง(1),ปริมาณการจำหน่าย,รวม,1416.2,1422.2,1488.6,0.4,4.7,The Metropolitan Waterworks Authority(1),Water sales,Total
การประปานครหลวง(1),ปริมาณการจำหน่าย,ประเภทที่อยู่อาศัย,705.8,695.6,715.6,-1.4,2.9,The Metropolitan Waterworks Authority(1),Water sales,Residence
การประปานครหลวง(1),ปริมาณการจำหน่าย,ประเภทธุรกิจ รัฐวิสาหกิจ ราชการ และอื่น ๆ,643.2,640.5,679.6,-0.4,6.1,The Metropolitan Waterworks Authority(1),Water sales,"Business, state enterprise, government agency and others"
การประปานครหลวง(1),ปริมาณการจำหน่าย,น้ำสาธารณะ และอื่น ๆ,67.2,86.1,93.4,28.1,8.5,The Metropolitan Waterworks Authority(1),Water sales,Public water and others
การประปานครหลวง(1),เฉลี่ยการใช้น้ำ (ลบม/ราย/เดือน),,45.0,43.9,45.0,-2.5,2.6,The Metropolitan Waterworks Authority(1),Average water consumption (cubic metre/case/month),
การประปานครหลวง(1),อัตราน้ำสูญเสีย (%),,33.1,31.6,27.1,-4.4,-14.3,The Metropolitan Waterworks Authority(1), Water loss (%),
การประปาส่วนภูมิภาค(2),ผู้ใช้น้ำ (ราย),,4957179,5125335,5298545,3.4,3.4,The Provincial Waterworks Authority(2),Customer (case),
การประปาส่วนภูมิภาค(2),ปริมาณการผลิต,,2099.1,2091.8,2167.3,-0.3,3.6,The Provincial Waterworks Authority(2),Water production,
การประปาส่วนภูมิภาค(2),ปริมาณการจำหน่าย,,1335.7,1354.5,1432.8,1.4,5.8,The Provincial Waterworks Authority(2),Water sales,
การประปาส่วนภูมิภาค(2),เฉลี่ยการใช้น้ำ (ลบม/ราย/เดือน),,22.5,22.0,22.5,-1.9,2.3,The Provincial Waterworks Authority(2),Average water consumption (cubic metre/person/month),
การประปาส่วนภูมิภาค(2),อัตราน้ำสูญเสีย (%),,36.4,35.3,33.9,-3.1,-3.9,The Provincial Waterworks Authority(2), Water loss (%),
,,,,,,,,,,
(1) รวมกรุงเทพมหานคร สมุทรปราการ และนนทบุรี,,,,,,,,,,
"(1) Including Bangkok, Samut Prakan and Nonthaburi",,,,,,,,,,
(2) ไม่รวมการจำหน่ายโดยไม่คิดมูลค่า,,,,,,,,,,
(2) Excluding free of charge,,,,,,,,,,
ที่มา: การประปานครหลวง และการประปาส่วนภูมิภาค  กระทรวงมหาดไทย,,,,,,,,,,
"Sources: The Metropolitan Waterworks Authority and The Provincial Waterworks Authority,  Ministry of Interior",,,,,,,,,,
