ตาราง 21.12 ปริมาณฝน จำแนกตามสถานีตรวจอากาศ พ.ศ. 2564 - 2566,,,,,,,,,
Table 21.12 Annual Rainfall Data by Meteorological Station: 2021 - 2023,,,,,,,,,
,,,,,,,,,
ภาค,สถานีตรวจอากาศ,2564 (2021)_จำนวนวันที่ฝนตก (No. of rainy day),2564 (2021)_ปริมาณฝน (มิลลิเมตร) (Rainfall (Millimetre)),2565 (2022)_จำนวนวันที่ฝนตก (No. of rainy day),2565 (2022)ปริมาณฝน (มิลลิเมตร) (Rainfall (Millimetre)),2566 (2023)_จำนวนวันที่ฝนตก (No. of rainy day),2566 (2023)_ปริมาณฝน (มิลลิเมตร) (Rainfall (Millimetre)),Region,Meteorological station
ภาคเหนือ,ทุ่งช้าง,126,1239.9,135,1906.6,123,1511.8,Northern Part,Thung Chang
ภาคเหนือ,พะเยา,122,1286.7,117,1545.6,102,1145.6,Northern Part,Phayao
ภาคเหนือ,พิษณุโลก,117,1251.1,142,1666.4,98,1222.9,Northern Part,Phitsanulok
ภาคเหนือ,เพชรบูรณ์,131,1080.7,129,1192.3,111,1100.8,Northern Part,Phetchabun
ภาคเหนือ,หล่มสัก,120,1172.9,128,1081.5,105,1006.5,Northern Part,Lom Sak
ภาคเหนือ,วิเชียรบุรี,106,1526.4,118,1790.7,102,977.7,Northern Part,Wichian Buri
ภาคเหนือ,แพร่,109,1227.8,123,1211.0,107,1180.1,Northern Part,Phrae
ภาคเหนือ,แม่ฮ่องสอน,141,1079.7,141,1479.2,134,1257.7,Northern Part,Mae Hong Son
ภาคเหนือ,แม่สะเรียง,149,1347.4,143,1417.3,123,1248.4,Northern Part,Mae Sariang
ภาคเหนือ,สุโขทัย,108,1483.7,123,1252.8,84,1145.5,Northern Part,Sukhothai
ภาคเหนือ,ศรีสำโรง (สกษ),102,1517.0,119,1326.2,79,1285.2,Northern Part,Si Samrong Agromet.
ภาคเหนือ,ลำปาง,119,1073.1,116,1241.3,98,1220.6,Northern Part,Lampang
ภาคเหนือ,ลำปาง (สกษ),118,1414.8,131,1760.6,110,1302.5,Northern Part,Lampang Agromet.
ภาคเหนือ,เถิน,134,1504.2,137,1701.2,111,1330.2,Northern Part,Thoen
ภาคเหนือ,ลำพูน,114,1070.6,131,1433.2,100,1027.9,Northern Part,Lamphun
ภาคเหนือ,อุตรดิตถ์,104,1265.2,117,1361.6,88,1208.4,Northern Part,Uttaradit
ภาคเหนือ,อุทัยธานี,109,1497.7,123,1568.8,103,870.3,Northern Part,Uthaithani
ภาคตะวันออกเฉียงเหนือ,ขอนแก่น,110,1132.4,129,1760.8,101,1213.3,Northeastern Part,Khon Kaen
ภาคตะวันออกเฉียงเหนือ,ท่าผา (สกษ),101,1205.7,132,1519.5,89,1283.9,Northeastern Part,Tha Phra Aromet.
ภาคตะวันออกเฉียงเหนือ,ชัยภูมิ,110,1338.7,117,1670.5,88,1051.2,Northeastern Part,Chaiyaphum
ภาคตะวันออกเฉียงเหนือ,นครพนม,123,2132.7,140,1892.2,130,2567.7,Northeastern Part,Nakhon Phanom
ภาคตะวันออกเฉียงเหนือ,นครพนม (สกษ),132,2005.3,136,1629.0,121,1819.5,Northeastern Part,Nakhon Phanom Aromet.
ภาคตะวันออกเฉียงเหนือ,นครราชสีมา,110,1204.0,139,1347.4,93,927.0,Northeastern Part,Nakhon Ratchasima
ภาคตะวันออกเฉียงเหนือ,ปากช่อง (สกษ),127,1118.3,133,1453.5,108,855.6,Northeastern Part,Pakchong Aromet.
ภาคตะวันออกเฉียงเหนือ,โชคชัย,114,1353.5,122,1355.3,110,1024.4,Northeastern Part,Chok Chai
ภาคตะวันออกเฉียงเหนือ,นางรอง,116,1564.2,152,2052.1,103,1110.3,Northeastern Part,Nang Rong
ภาคตะวันออกเฉียงเหนือ,มุกดาหาร,107,1641.1,123,1562.2,103,1635.6,Northeastern Part,Mukdahan
ภาคตะวันออกเฉียงเหนือ,มหาสารคาม,92,1288.9,103,1534.2,97,1221.2,Northeastern Part,Mahasarakham
ภาคตะวันออกเฉียงเหนือ,กาฬสินธุ์,98,1289.6,127,1507.5,95,1640.3,Northeastern Part,Kalasin
ภาคตะวันออกเฉียงเหนือ,อำนาจเจริญ,108,1736.2,119,1904.8,105,1808.1,Northeastern Part,Amnat Charoen
