ตาราง  21.11  อุตุนิยมสังเขป จำแนกตามสถานีตรวจอากาศ พ.ศ. 2565 - 2566,,,,,,,,,,,,,,
Table 21.11 Summary of Meteorology by Meteorological Station: 2022 - 2023,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ภาค,สถานีตรวจอากาศ,ความสูงของสถานีเหนือระดับน้ำทะเลปานกลาง (เมตร) (Elevation of station above mean sea-leve (Metre)),2565 (2022)_อุณหภูมิเฉลี่ยสูงสุด(องศาเซลเซียส) (Temperature Mean maximum (Degrees Celsius))   ,2565 (2022)_อุณหภูมิเฉลี่ย(องศาเซลเซียส) (Temperature Mean (Degrees Celsius)),2565 (2022)_อุณหภูมิเฉลี่ยต่ำสุด(องศาเซลเซียส) (Temperature Mean minimum (Degrees Celsius)),2565 (2022)_ความกดอากาศเฉลี่ย (Mean atmospheric pressure)  (hPa),2565 (2022)_ความชื้นสัมพัทธ์ เฉลี่ย (Mean relative humidity %),2566 (2023)_อุณหภูมิเฉลี่ยสูงสุด(องศาเซลเซียส) (Temperature Mean maximum (Degrees Celsius)),2566 (2023)_อุณหภูมิเฉลี่ย(องศาเซลเซียส) (Temperature Mean (Degrees Celsius)) ,2566 (2023)_อุณหภูมิเฉลี่ยต่ำสุด (Temperature Mean minimum (Degrees Celsius)),2566 (2023)_ความกดอากาศเฉลี่ย (Mean atmospheric pressure)  (hPa),2566 (2023)_ความชื้นสัมพัทธ์เฉลี่ย (Mean relative humidity %),Region,Meteorological station
ภาคตะวันออก,เกาะสีชัง,25,31.9,27.8,24.5,1008.53,79.3,32.6,28.5,25.4,1009.34,78.2,Eastern Part,Ko Sichang
ภาคตะวันออก,ฉะเชิงเทรา,70,33.5,27.0,22.8,1010.58,80.3,34.4,27.9,23.6,1011.13,76.6,Eastern Part,Chachoengsao
ภาคตะวันออก,ปราจีนบุรี,4,33.7,28.6,24.6,1008.57,73.5,34.5,29.3,25.2,1009.23,73.8,Eastern Part,Prachin Buri
ภาคตะวันออก,กบินทร์บุรี,11,33.1,27.6,23.7,1008.74,78.4,34.2,28.3,24.4,1009.38,75.4,Eastern Part,Kabin Buri
ภาคตะวันออก,อรัญประเทศ,47,33.5,28.2,24.0,1009.11,75.0,34.4,29.0,24.7,1009.76,71.9,Eastern Part,Aranyaprathet
ภาคตะวันออก,ระยอง,3,32.0,28.2,25.3,1008.72,78.6,32.4,28.8,26.1,1009.49,77.2,Eastern Part,Rayong
ภาคตะวันออก,ห้วยโป่ง (สกษ),43,32.4,27.8,24.5,1008.68,78.9,33.2,28.6,25.6,1009.43,76.4,Eastern Part,Huai Pong Agromet.
ภาคตะวันออก,สระแก้ว,41,33.1,27.3,23.6,1008.87,80.2,34.1,28.2,24.2,1009.52,76.6,Eastern Part,Sa Kaeo
ภาคเหนือ,รวม,,32.6,26.5,21.8,1008.69,76.9,33.5,27.0,22.1,1009.30,73.7,Northern Part,Tatal
ภาคเหนือ,กำแพงเพชร,80,33.3,27.7,23.3,1008.64,77.6,34.7,28.5,23.6,1009.25,76.1,Northern Part,Kamphaeng Phet
ภาคเหนือ,พิจิตร (สกษ),36,33.4,28.1,24.1,1006.97,77.4,34.1,28.6,24.4,1007.58,75.5,Northern Part,Pichit Agromet.
