ตาราง 8.7 ค่าใช้จ่ายด้านพลังงานเฉลี่ยต่อเดือนของครัวเรือน จำแนกตามประเภทของพลังงาน และภาค พ.ศ. 2565,,,,,,,
Table 8.7 Average Monthly Energy Consumption per Household by Type of Energy and Region: 2022,,,,,,,
,,,,,,,
,,,,,,,(บาท  Baht)
ประเภทของพลังงาน,ทั่วราชอาณาจักร (Whole Kingdom) ,กรุงเทพมหานครและ 3 จังหวัด (Greater Bangkok) (1),ภาคกลาง(Central Region),ภาคเหนือ(Northern Region),ภาคตะวันออกเฉียงเหนือ(Northeastern Region),ภาคใต้(Southern Region),Type of energy
ค่าใช้จ่ายด้านพลังงาน,2586,3059,2847,2088,2161,2711,Energy consumption 
ผลิตภัณฑ์ปิโตรเลียม,1748,1892,1909,1451,1526,2009,Petroleum products
น้ำมันเบนซิน,35,38,29,27,18,82,Benzene
แก๊สโซฮอล์,1021,1387,1045,776,768,1108,Gasohol
น้ำมันดีเซล,587,392,740,550,603,697,Diesel
ไบโอดีเซล และพลังงานทดแทนประเภทอื่น,--,-,--,1,--,1,Biodiesel and others   alternative energy
แก๊สใช้สำหรับยานพาหนะ,9,20,9,4,4,3,Gas for vehicles
แก๊สใช้ในครัวเรือน,96,55,86,93,133,118,Gas used in households
ผลิตภัณฑ์อื่น,838,1167,938,637,635,702,Other products
ไฟฟ้า,810,1164,931,599,556,698,Electricity
ถ่านไม้และฟืน,28,3,7,38,79,4,Charcoal and wood
,,,,,,,
(1) รวมจังหวัดนนทบุรี ปทุมธานี และสมุทรปราการ,,,,,,,
"(1) Including Nonthaburi, Pathum Thani and Samut Prakan.",,,,,,,
ที่มา: การสำรวจการใช้พลังงานของครัวเรือน  สำนักงานสถิติแห่งชาติ  กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,,,,,,,
"Source: The Household Energy Consumption Survey, National Statistical Office,  Ministry of Digital Economy and Society",,,,,,,
