"ตาราง 1.14 การตาย และอัตราตายต่อประชากร 1,000 คน จำแนกตามภาค และจังหวัด พ.ศ. 2564 - 2565",,,,,,,,,
"Table 1.14 Deaths and Crude Death Rate per 1,000 Population by Region and Province:  2021 - 2022",,,,,,,,,
,,,,,,,,,
ภาค,จังหวัด,ประชากรกลางปี2564 (Mid-year population 2021),ประชากรกลางปี 2565 (Mid-year population 2022),จำนวนการตาย 2564 (Number Deaths 2021),อัตราการตาย 2564 (Rate Deaths 2021),จำนวนการตาย 2565 (Number Deaths2022),อัตราการตาย 2564 (Rate Deaths 2021),Region,Province
ภาคตะวันออกเฉียงเหนือ,นครราชสีมา,2629023,2627292,20651,7.9,24019,9.1,Northeastern Region,Nakhon Ratchasima
ภาคตะวันออกเฉียงเหนือ,บุรีรัมย์,1578458,1576213,11602,7.4,13489,8.6,Northeastern Region,Buri Ram
ภาคตะวันออกเฉียงเหนือ,สุรินทร์,1375749,1373026,10742,7.8,11872,8.6,Northeastern Region,Surin
ภาคตะวันออกเฉียงเหนือ,ศรีสะเกษ,1456828,1454826,10700,7.3,12205,8.4,Northeastern Region,Si Sa Ket
ภาคตะวันออกเฉียงเหนือ,อุบลราชธานี,1859494,1860591,14226,7.7,15493,8.3,Northeastern Region,Ubon Ratchathani
ภาคตะวันออกเฉียงเหนือ,ยโสธร,533604,532144,4511,8.5,5061,9.5,Northeastern Region,Yasothon
ภาคตะวันออกเฉียงเหนือ,ชัยภูมิ,1122452,1118897,9676,8.6,11006,9.8,Northeastern Region,Chaiyaphum
ภาคตะวันออกเฉียงเหนือ,อำนาจเจริญ,375499,375099,2687,7.2,3092,8.2,Northeastern Region,Amnat Charoen
ภาคตะวันออกเฉียงเหนือ,บึงกาฬ,421247,421042,2951,7.0,3259,7.7,Northeastern Region,Bueng Kan
ภาคตะวันออกเฉียงเหนือ,หนองบัวลำภู,508643,508016,3647,7.2,4087,8.0,Northeastern Region,Nong Bua Lam Phu
ภาคตะวันออกเฉียงเหนือ,ขอนแก่น,1789131,1784046,15501,8.7,17204,9.6,Northeastern Region,Khon Kaen
ภาคตะวันออกเฉียงเหนือ,อุดรธานี,1559860,1557282,12280,7.9,13364,8.6,Northeastern Region,Udon Thani
ภาคตะวันออกเฉียงเหนือ,เลย,634694,633990,5173,8.2,5872,9.3,Northeastern Region,Loei
ภาคตะวันออกเฉียงเหนือ,หนองคาย,512346,511509,3730,7.3,4139,8.1,Northeastern Region,Nong Khai
ภาคตะวันออกเฉียงเหนือ,มหาสารคาม,950242,945678,7961,8.4,8687,9.2,Northeastern Region,Maha Sarakham
ภาคตะวันออกเฉียงเหนือ,ร้อยเอ็ด,1296151,1292363,10653,8.2,11829,9.2,Northeastern Region,Roi Et
ภาคตะวันออกเฉียงเหนือ,กาฬสินธุ์,975474,972899,8150,8.4,9013,9.3,Northeastern Region,Kalasin
ภาคตะวันออกเฉียงเหนือ,สกลนคร,1145549,1144634,8406,7.3,9329,8.2,Northeastern Region,Sakon Nakhon
ภาคตะวันออกเฉียงเหนือ,นครพนม,715482,715169,5354,7.5,5996,8.4,Northeastern Region,Nakhon Phanom
ภาคตะวันออกเฉียงเหนือ,มุกดาหาร,348324,348576,2497,7.2,2764,7.9,Northeastern Region,Mukdahan
ภาคใต้,ภาคใต้,9415741,9430420,66440,7.1,72768,7.7,Southern Region,Southern Region
ภาคใต้,นครศรีธรรมราช,1547100,1544277,11469,7.4,13212,8.6,Southern Region,Nakhon Si Thammarat
ภาคใต้,กระบี่,476366,477456,2719,5.7,3231,6.8,Southern Region,Krabi
ภาคใต้,พังงา,264003,263634,1853,7.0,2052,7.8,Southern Region,Phang-nga
ภาคใต้,ภูเก็ต,405235,407175,2392,5.9,2685,6.6,Southern Region,Phuket
ภาคใต้,สุราษฏร์ธานี,1062199,1064655,7111,6.7,8129,7.6,Southern Region,Surat Thani
ภาคใต้,ระนอง,179329,179550,1219,6.8,1195,6.7,Southern Region,Ranong
ภาคใต้,ชุมพร,505241,505366,3808,7.5,4403,8.7,Southern Region,Chumphon
ภาคใต้,สงขลา,1420085,1421462,10552,7.4,11749,8.3,Southern Region,Songkhla
ภาคใต้,สตูล,323945,324534,1930,6.0,2107,6.5,Southern Region,Satun
ภาคใต้,ตรัง,638773,637594,4320,6.8,5096,8.0,Southern Region,Trang
ภาคใต้,พัทลุง,522472,521739,3817,7.3,4460,8.5,Southern Region,Phatthalung
ภาคใต้,ปัตตานี,726205,729701,5635,7.8,5301,7.3,Southern Region,Pattani
ภาคใต้,ยะลา,538960,542592,3772,7.0,3646,6.7,Southern Region,Yala
ภาคใต้,นราธิวาส,805828,810685,5843,7.3,5502,6.8,Southern Region,Narathiwat
,,,,,,,,,
"หมายเหตุ: อัตราการตาย = (การตาย/ประชากร) x 1,000",,,,,,,,,
"Note: Crude death rate = (Deaths/Population) x 1,000",,,,,,,,,
ที่มา: สำนักงานปลัดกระทรวงสาธารณสุข,,,,,,,,,
Source: Office of the Permanent Secretary Ministry of Public Health,,,,,,,,,
