ตาราง  2.17  อัตราค่าจ้างขั้นต่ำ พ.ศ. 2556 - 2567,,,,,,,,,,,,,,
Table   2.17  Minimum Wage Rate: 2013 - 2024,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,(บาท/วัน  Baht/day)
ภาค,จังหวัด,ค่าจ้าง (Wage)_2556 (2013)_ม.ค. (Jan.),ค่าจ้าง (Wage)_2560 (2017)_ม.ค. (Jan.),ค่าจ้าง (Wage)_2561 (2018)_เม.ย. (Apr.),ค่าจ้าง (Wage)_2563 (2020)_ม.ค. (Jan.),ค่าจ้าง (Wage)_2565 (2022)_ต.ค. (Oct.),ค่าจ้าง (Wage)_2567 (2024)_ม.ค. (Jan.),อัตราการเปลี่ยนแปลง (Percent change)_2560 (2017)_ม.ค. (Jan.),อัตราการเปลี่ยนแปลง (Percent change)_2561 (2018)_เม.ย. (Apr.),อัตราการเปลี่ยนแปลง (Percent change)_2563 (2020)_ม.ค. (Jan.),อัตราการเปลี่ยนแปลง (Percent change)_2565 (2022)_ต.ค. (Oct.),อัตราการเปลี่ยนแปลง (Percent change)_2567 (2024)_ม.ค. (Jan.),Region,Province
ภาคเหนือ,ลำพูน,300.00,305.00,310.00,315.00,332.00,343.00,1.67,1.64,1.61,5.40,3.31,Northern Region,Lamphun
ภาคเหนือ,ลำปาง,300.00,305.00,310.00,315.00,332.00,340.00,1.67,1.64,1.61,5.40,2.41,Northern Region,Lampang
ภาคเหนือ,อุตรดิตถ์,300.00,305.00,315.00,320.00,335.00,340.00,1.67,3.28,1.59,4.69,1.49,Northern Region,Uttaradit
ภาคเหนือ,แพร่,300.00,305.00,310.00,315.00,332.00,338.00,1.67,1.64,1.61,5.40,1.81,Northern Region,Phrae
ภาคเหนือ,น่าน,300.00,305.00,315.00,320.00,328.00,338.00,1.67,3.28,1.59,2.50,3.05,Northern Region,Nan
ภาคเหนือ,พะเยา,300.00,305.00,315.00,320.00,335.00,338.00,1.67,3.28,1.59,4.69,0.90,Northern Region,Phayao
ภาคเหนือ,เชียงราย,300.00,305.00,310.00,315.00,332.00,345.00,1.67,1.64,1.61,5.40,3.92,Northern Region,Chiang Rai
ภาคเหนือ,แม่ฮ่องสอน,300.00,305.00,310.00,315.00,332.00,340.00,1.67,1.64,1.61,5.40,2.41,Northern Region,Mae Hong Son
ภาคเหนือ,นครสวรรค์,300.00,305.00,315.00,320.00,335.00,343.00,1.67,3.28,1.59,4.69,2.39,Northern Region,Nakhon Sawan
ภาคเหนือ,อุทัยธานี,300.00,305.00,310.00,315.00,332.00,340.00,1.67,1.64,1.61,5.40,2.41,Northern Region,Uthai Thani
