ตาราง 20.5 การจดแจ้งลิขสิทธิ์ จำแนกตามประเภทของงาน พ.ศ. 2562 - 2566,,,,,,
Table 20.5 Copyrights Notification by Type of Work: 2019 - 2023,,,,,,
,,,,,,(ราย  Case)
ประเภทของงาน,2562 (2019) (r),2563 (2020) (r),2564 (2021) (r),2565 (2022) (r),2566 (2023) (r),Type of work
รวมยอด,7464,7395,8255,10201,8713,Total
วรรณกรรม,1691,2017,2820,3522,2350,Literary
นาฏกรรม,7,6,13,21,22,Dance
ศิลปกรรม,2133,1634,2175,2700,3313,Artistic
ดนตรีกรรม,3335,2749,2383,1977,1631,Musical
โสตทัศนวัสดุ,223,886,603,1379,914,Audiovisual
ภาพยนตร์,18,45,11,29,15,Cinematographic
สิ่งบันทึกเสียง,51,32,191,483,314,Sound recording
อื่น ๆ,6,26,59,90,154,Others
,,,,,,
ที่มา: กรมทรัพย์สินทางปัญญา กระทรวงพาณิชย์,,,,,,
"Source: Department of Intellectual Property, Ministry of Commerce",,,,,,
