ตาราง  6.8  ผู้สูงอายุที่ได้รับเงินตามกองทุนผู้สูงอายุ จำแนกตามภาค และจังหวัด ปีงบประมาณ 2565 - 2566,,,,,,,
Table   6.8  Elderly Receiving Money from the Older Fund by Region and Province: Fiscal Years 2022 - 2023,,,,,,,
,,,,,,,
ภาค,จังหวัด,2565 (2022)_ผู้ได้รับอนุมัติ (ราย) (Number (Person)),2565  (2022)_เงินอนุมัติ (บาท) (Amount (Baht)),2566  (2023)_ผู้ได้รับอนุมัติ (ราย) (Number (Person)),2566  (2023)_เงินอนุมัติ (บาท) (Amount (Baht)),Region,Province
ภาคตะวันออกเฉียงเหนือ,ร้อยเอ็ด,170,5100000,76,2280000,Northeastern Region,Roi Et
ภาคตะวันออกเฉียงเหนือ,กาฬสินธุ์,89,2268869,66,1719300,Northeastern Region,Kalasin
ภาคตะวันออกเฉียงเหนือ,สกลนคร,30,900000,35,1050000,Northeastern Region,Sakon Nakhon
ภาคตะวันออกเฉียงเหนือ,นครพนม,68,2040000,56,1679075,Northeastern Region,Nakhon Phanom
ภาคตะวันออกเฉียงเหนือ,มุกดาหาร,117,3510000,143,4290000,Northeastern Region,Mukdahan
ภาคใต้,รวม,637,18553090,758,22177000,Southern Region,Total
ภาคใต้,นครศรีธรรมราช,99,2915000,115,3438000,Southern Region,Nakhon Si Thammarat
ภาคใต้,กระบี่,123,3690000,169,4980000,Southern Region,Krabi
ภาคใต้,พังงา,24,707000,23,677900,Southern Region,Phang-nga
ภาคใต้,ภูเก็ต,13,390000,16,442000,Southern Region,Phuket
ภาคใต้,สุราษฎร์ธานี,40,1191490,49,1469400,Southern Region,Surat Thani
ภาคใต้,ระนอง,45,1248500,49,1417000,Southern Region,Ranong
ภาคใต้,ชุมพร,40,1107000,66,1843300,Southern Region,Chumphon
ภาคใต้,สงขลา,16,480000,21,630000,Southern Region,Songkhla
ภาคใต้,สตูล,45,1210000,20,513600,Southern Region,Satun
ภาคใต้,ตรัง,24,636100,20,495800,Southern Region,Trang
ภาคใต้,พัทลุง,41,1205000,24,720000,Southern Region,Phatthalung
ภาคใต้,ปัตตานี,53,1590000,80,2400000,Southern Region,Pattani
ภาคใต้,ยะลา,40,1188000,49,1460000,Southern Region,Yala
ภาคใต้,นราธิวาส,34,995000,57,1690000,Southern Region,Narathiwat
,,,,,,,
ที่มา:  กรมกิจการผู้สูงอายุ กระทรวงการพัฒนาสังคมและความมั่นคงของมนุษย์,,,,,,,
"Source:  Social Security Office,  Ministry of Labour",,,,,,,
