ตาราง 7.1 ประชากรจากการทะเบียน จำแนกตามภาค เขตการปกครอง และเพศ พ.ศ. 2566,,,,,,
"Table 7.1 Population from Registration Record by Region, Administration Zone and Sex: 2023",,,,,,
,,,,,,
,,,,,,(คน  Person)
ภาค,เขตการปกครอง,รวมยอด (Total),     ชาย (Male),  หญิง (Female),Region,Administration zone
ทั่วราชอาณาจักร,รวม,66052615,32224008,33828607,Whole Kingdom,total
ทั่วราชอาณาจักร,ในเขตเทศบาล,24560133,11755731,12804402,Whole Kingdom,Municipal area
ทั่วราชอาณาจักร,นอกเขตเทศบาล,41492482,20468277,21024205,Whole Kingdom,Non-municipal area
กรุงเทพมหานครและปริมณฑล(1),รวม,10888403,5117348,5771055,Bangkok and Vicinities(1),total
กรุงเทพมหานครและปริมณฑล(1),ในเขตเทศบาล,8128744,3805184,4323560,Bangkok and Vicinities(1),Municipal area
กรุงเทพมหานครและปริมณฑล(1),นอกเขตเทศบาล,2759659,1312164,1447495,Bangkok and Vicinities(1),Non-municipal area
ภาคกลาง,รวม,2979014,1446711,1532303,Central Region,total
ภาคกลาง,ในเขตเทศบาล,962525,466307,496218,Central Region,Municipal area
ภาคกลาง,นอกเขตเทศบาล,2016489,980404,1036085,Central Region,Non-municipal area
ภาคตะวันออก,รวม,5205868,2553615,2652253,Eastern Region,total
ภาคตะวันออก,ในเขตเทศบาล,2087388,1012477,1074911,Eastern Region,Municipal area
ภาคตะวันออก,นอกเขตเทศบาล,3118480,1541138,1577342,Eastern Region,Non-municipal area
ภาคตะวันตก,รวม,3809056,1857685,1951371,Western Region,total
ภาคตะวันตก,ในเขตเทศบาล,2699448,1326894,1372554,Western Region,Municipal area
ภาคตะวันตก,นอกเขตเทศบาล,1109608,530791,578817,Western Region,Non-municipal area
ภาคเหนือ,รวม,11940324,5827007,6113317,Northern Region,total
ภาคเหนือ,ในเขตเทศบาล,3563512,1707657,1855855,Northern Region,Municipal area
ภาคเหนือ,นอกเขตเทศบาล,8376812,4119350,4257462,Northern Region,Non-municipal area
ภาคตะวันออกเฉียงเหนือ,รวม,21716975,10745900,10971075,Northeastern Region,total
ภาคตะวันออกเฉียงเหนือ,ในเขตเทศบาล,4407902,2137917,2269985,Northeastern Region,Municipal area
ภาคตะวันออกเฉียงเหนือ,นอกเขตเทศบาล,17309073,8607983,8701090,Northeastern Region,Non-municipal area
ภาคใต้,รวม,9512975,4675742,4837233,Southern Region,total
ภาคใต้,ในเขตเทศบาล,2710614,1299295,1411319,Southern Region,Municipal area
ภาคใต้,นอกเขตเทศบาล,6802361,3376447,3425914,Southern Region,Non-municipal area
,,,,,,
(1) รวมจังหวัดสมุทรปราการ นนทบุรี ปทุมธานี นครปฐม สมุทรสาคร ,,,,,,
"(1)  Including Samut Prakan, Nonthaburi, Pathum Thani, Nakhon Pathom, Samut Sakhon",,,,,,
ที่มา:  กรมการปกครอง  กระทรวงมหาดไทย,,,,,,
"Source:  Department of Provincial Administration,  Ministry of Interior",,,,,,
