ตาราง 15.7 รถจดทะเบียน ตามพระราชบัญญัติการขนส่งทางบก พ.ศ. 2522 จำแนกตามภาค และจังหวัด พ.ศ. 2566,,,,,,,
Table 15.7 Vehicles Registered Under Land Transport ACT B.E. 2522 (1979) by Region and Province: 2023,,,,,,,
,,,,,,,
,,,,,,,(คัน Car)
ภาค,จังหวัด ,รวมยอด  (Total), รถโดยสาร (Bus) (1),รถบรรทุก (Truck) (2),รถขนาดเล็ก (Small rural bus),Region,Province
ภาคตะวันออกเฉียงเหนือ,ยโสธร,7336,504,6822,10,Northeastern Region,Yasothon
ภาคตะวันออกเฉียงเหนือ,ชัยภูมิ,23524,766,22758,-,Northeastern Region,Chaiyaphum
ภาคตะวันออกเฉียงเหนือ,อำนาจเจริญ,3968,157,3811,-,Northeastern Region,Amnat Charoen
ภาคตะวันออกเฉียงเหนือ,บึงกาฬ,4064,123,3941,-,Northeastern Region,Bueng Kan
ภาคตะวันออกเฉียงเหนือ,หนองบัวลำภู,8683,484,8197,2,Northeastern Region,Nong Bua Lam Phu
ภาคตะวันออกเฉียงเหนือ,ขอนแก่น,30048,1970,28074,4,Northeastern Region,Khon Kaen
ภาคตะวันออกเฉียงเหนือ,อุดรธานี,23664,1818,21844,2,Northeastern Region,Udon Thani
ภาคตะวันออกเฉียงเหนือ,เลย,12613,534,12079,-,Northeastern Region,Loei
ภาคตะวันออกเฉียงเหนือ,หนองคาย,6357,354,6000,3,Northeastern Region,Nong Khai
ภาคตะวันออกเฉียงเหนือ,มหาสารคาม,14804,806,13878,120,Northeastern Region,Maha Sarakham
ภาคตะวันออกเฉียงเหนือ,ร้อยเอ็ด,16426,1061,15357,8,Northeastern Region,Roi Et
ภาคตะวันออกเฉียงเหนือ,กาฬสินธุ์,13628,526,13098,4,Northeastern Region,Kalasin
ภาคตะวันออกเฉียงเหนือ,สกลนคร,10230,969,9257,4,Northeastern Region,Sakon Nakhon
ภาคตะวันออกเฉียงเหนือ,นครพนม,6067,467,5600,-,Northeastern Region,Nakhon Phanom
