ตาราง 15.2 ใบอนุญาตขับรถ และใบอนุญาตผู้ประจำรถ จำแนกตามประเภทใบอนุญาต พ.ศ. 2565 - 2566,,,,,
Table  15.2 Driving Licences and Transport Personnel Licences by Type: 2022 - 2023,,,,,
,,,,,
,,,,,(ฉบับ Issue)
ประเภท,2565 (2022)_ทั่วราชอาณาจักร (Whole Kingdom),2565 (2022)_กรุงเทพมหานคร (Bangkok),2566 (2023)_ทั่วราชอาณาจักร (Whole Kingdom),2566 (2023)_กรุงเทพมหานคร (Bangkok),Type
รวม,32705711,4989467,33509927,5176908,Total
ใบอนุญาตขับรถตามกฏหมายว่าด้วยรถยนต์,30913411,4845995,31671654,5031577,Driving licence under Motor Vehicle Act
รถยนต์ส่วนบุคคลชั่วคราว,1258617,151639,1486241,194946,Private automobile (temporary)
รถยนต์สามล้อส่วนบุคคลชั่วคราว,538,385,1437,1098,Private motor tricycle (temporary)
รถจักรยานยนต์ชั่วคราว,733559,77352,969710,103506,Motorcycle (temporary)
รถยนต์ส่วนบุคคลห้าปี,11162773,1626708,11408694,1674385,Private automobile (five years)
รถยนต์สามล้อส่วนบุคคลห้าปี,6183,1333,5567,1255,Private motor tricycle (five years)
รถจักรยานยนต์ห้าปี,6331159,752918,6293594,770909,Motorcycle (five years)
รถยนต์ส่วนบุคคลตลอดชีพ,5637928,1463722,5638591,1461917,Private automobile (life)
รถยนต์สามล้อส่วนบุคคลตลอดชีพ,3855,427,3854,427,Motor tricycle (life)
รถจักรยานยนต์ตลอดชีพ,5441330,606354,5441767,606645,Motorcycle (life)
รถยนต์สาธารณะ,92928,52474,96731,52697,Public automobile
รถยนต์สามล้อสาธารณะ,6257,2269,5855,2213,Public motor tricycle
รถจักรยานยนต์สาธารณะ,128897,58720,129556,61723,Public motorcycle
รถระหว่างประเทศ,95544,51566,176240,99732,International driving permit
รถบดถนน,298,4,299,4,Road roller
รถแทรกเตอร์,6288,116,6018,114,Tractor
รถใช้งานเกษตรกรรม,7216,7,6443,5,Farm vehicle
รถอื่น ๆ ,41,1,1057,1,Others
ใบอนุญาตผู้ประจำรถตามกฏหมายว่าด้วยการขนส่งทางบก,1774025,141150,1819998,143010,Transport personnel licence under Land Transport Act
ผู้ขับรถ,1762434,133625,1808495,135322,Driving
นายตรวจ,362,240,347,231,Inspector
ผู้เก็บค่าโดยสาร,9843,6812,9843,6947,Conductor
ผู้บริการ,1386,473,1313,510,Bus hostess
ใบอนุญาตขับขี่ล้อเลื่อน,18275,2322,18275,2321,Driving licence under Non Motorized Vehicle Act
,,,,,
ที่มา:  กรมการขนส่งทางบก กระทรวงคมนาคม,,,,,
"Source:  The Department of Land Transport, Ministry of Transport ",,,,,
