ตาราง 15.4 รถจดทะเบียนใหม่ จำแนกตามประเภท พ.ศ. 2565 - 2566,,,,,
Table  15.4 New Vehicles Registered by Type: 2022 - 2023,,,,,
,,,,,
,,,,,(คัน Car)
ประเภท,2565 (2022),2566 (2023),2565 (2022)_อัตราการเปลี่ยนแปลง (Percent change),2566 (2023)_อัตราการเปลี่ยนแปลง (Percent change),Type
รวมยอด,3020357,3058205,12.3,1.3,Total
พระราชบัญญัติรถยนต์ พศ 2522,2939118,2976998,12.6,1.3,Motor Vehicle Act B.E. 2522 (1979)
รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,630545,653528,18.2,3.6,Sedan (not more than 7 passengers)
รถยนต์นั่งส่วนบุคคลเกิน 7 คน,23330,19283,12.2,-17.3,Microbus and passenger van
รถยนต์บรรทุกส่วนบุคคล,234909,170903,4.7,-27.2,Van and pick up
รถยนต์สามล้อส่วนบุคคล,91,83,116.7,-8.8,Motortricycle
รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,1530,2597,53.9,69.7,Urban taxi 
รถยนต์สี่ล้อเล็กรับจ้าง,1,3,-93.3,200,Fixed route taxi
รถยนต์รับจ้างสามล้อ,287,689,229.9,140.1,Motortricycle taxi (Tuk Tuk)
รถยนต์บริการธุรกิจ,71,334,343.8,370.4,Hotel taxi 
รถยนต์บริการทัศนาจร,221,729,1909.1,229.9,Tour taxi 
รถยนต์บริการให้เช่า,9,11,100,22.2,Car for hire 
รถจักรยานยนต์,1974502,2065021,12,4.6,Motorcycle
รถแทรกเตอร์,69945,60429,8.8,-13.6,Tractor
รถบดถนน,851,696,-20,-18.2,Road roller
รถใช้งานเกษตรกรรม,487,378,-29.4,-22.4,Farm vehicle 
รถพ่วง,1132,1044,13.8,-7.8,Automobile trailer
รถจักรยานยนต์สาธารณะ,1207,1270,-3.7,5.2,Public motorcycle
พระราชบัญญัติการขนส่งทางบก   พศ 2522,81239,81207,4.9,--,Land Transport Act  B.E. 2522 (1979)
รถโดยสาร,5015,8243,41.6,64.4,Bus
ประจำทาง,1757,2284,77.1,30,Fixed route bus
ไม่ประจำทาง,2790,5382,40.5,92.9,Non-fixed route bus
ส่วนบุคคล,468,577,-17,23.3,Private bus
รถบรรทุก,76224,72964,3.2,-4.3,Truck
ไม่ประจำทาง,36546,36661,9.3,0.3,Non-fixed route truck
ส่วนบุคคล,39678,36303,-1.9,-8.5,Private truck
,,,,,
ที่มา:  กรมการขนส่งทางบก กระทรวงคมนาคม,,,,,
"Source:  The Department of Land Transport, Ministry of Transport ",,,,,
