ตาราง 15.6 รถจดทะเบียน ตามพระราชบัญญัติรถยนต์ พ.ศ. 2522 จำแนกตามภาค และจังหวัด พ.ศ. 2566,,,,,,,,,,,,
Table 15.6 Vehicles Registered Under Motor Vehicle ACT B.E. 2522 (1979) by Region and Province: 2023,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,(คัน Car)
ภาค,จังหวัด,รวมยอด (Total),รถยนต์ส่วนบุคคล  (Individual car) (1),รถยนต์สาธารณะ (Taxi car) (2),รถยนต์บริการ (Service) (3),รถจักรยานยนต์ (Motorcycle) (4),รถแทรกเตอร์ (Tractor),รถบดถนน (Road roller),รถใช้งานเกษตรกรรม (Farm vehicle),รถพ่วง (Automobile trailer),Region,Province
ทั่วราชอาณาจักร,,42987036,19391597,104035,8545,22700523,646782,16705,110165,8684,Whole Kingdom,
กรุงเทพมหานครและปริมณฑล,รวม,12986454,7691284,91250,2222,5053126,137014,4800,16,6742,Bangkok and Vicinities,Total
กรุงเทพมหานครและปริมณฑล,กรุงเทพมหานคร,11791220,7258157,88949,2112,4309870,121320,4178,7,6627,Bangkok and Vicinities,Bangkok 
กรุงเทพมหานครและปริมณฑล,สมุทรปราการ,132671,38283,670,3,81885,11749,71,-,10,Bangkok and Vicinities,Samut Prakan
กรุงเทพมหานครและปริมณฑล,นนทบุรี,165748,102017,1334,107,60997,1038,212,1,42,Bangkok and Vicinities,Nonthaburi
กรุงเทพมหานครและปริมณฑล,ปทุมธานี,158021,72009,-,-,84731,1175,77,4,25,Bangkok and Vicinities,Pathum Thani
กรุงเทพมหานครและปริมณฑล,นครปฐม,486317,197487,79,-,286954,1527,233,4,33,Bangkok and Vicinities,Nakhon Pathom
กรุงเทพมหานครและปริมณฑล,สมุทรสาคร,252477,23331,218,-,228689,205,29,-,5,Bangkok and Vicinities,Samut Sakhon
ภาคกลาง,รวม,1847198,768162,1174,-,1041214,34620,716,982,221,Bangkok and Vicinities,Central Region
ภาคกลาง,พระนครศรีอยุธยา,508598,221555,1112,-,283702,1455,109,534,22,Bangkok and Vicinities,Phra Nakhon Si Ayutthaya
ภาคกลาง,อ่างทอง,156847,67049,21,-,88679,1030,66,-,2,Bangkok and Vicinities,Ang Thong
ภาคกลาง,ลพบุรี,437411,179455,-,-,237481,20040,191,235,9,Bangkok and Vicinities,Lop Buri
ภาคกลาง,สิงห์บุรี,139853,53244,-,-,85262,1248,95,-,4,Bangkok and Vicinities,Sing Buri
ภาคกลาง,ชัยนาท,175594,70486,29,-,100306,4619,71,78,5,Bangkok and Vicinities,Chai Nat
ภาคกลาง,สระบุรี,428895,176373,12,-,245784,6228,184,135,179,Bangkok and Vicinities,Saraburi
ภาคตะวันออก,รวม,4267321,1670716,2762,31,2558646,33110,1312,274,470,Eastern Region,Total
ภาคตะวันออก,ชลบุรี,1733140,618497,1399,24,1106261,6208,359,9,383,Eastern Region,Chon Buri
ภาคตะวันออก,ระยอง,828412,350672,25,4,473031,4436,199,5,40,Eastern Region,Rayong
ภาคตะวันออก,จันทบุรี,431438,192880,31,-,233888,4438,181,6,14,Eastern Region,Chanthaburi
ภาคตะวันออก,ตราด,135251,45968,16,2,88953,279,31,2,-,Eastern Region,Trat
ภาคตะวันออก,ฉะเชิงเทรา,420181,172089,756,-,244150,2938,125,114,9,Eastern Region,Chachoengsao
ภาคตะวันออก,ปราจีนบุรี,288151,114688,340,1,169769,3136,186,18,13,Eastern Region,Prachin Buri
ภาคตะวันออก,นครนายก,141872,58825,2,-,81938,953,79,69,6,Eastern Region,Nakhon Nayok
ภาคตะวันออก,สระแก้ว,288876,117097,193,-,160656,10722,152,51,5,Eastern Region,Sa Kaeo
ภาคตะวันตก,รวม,2205574,833783,407,114,1351383,18162,1200,414,111,Eastern Region,Western Region
ภาคตะวันตก,ราชบุรี,530466,185045,89,-,343221,1585,493,8,25,Eastern Region,Ratchaburi
ภาคตะวันตก,กาญจนบุรี,407967,166343,14,-,235363,6088,103,26,30,Eastern Region,Kanchanaburi
ภาคตะวันตก,สุพรรณบุรี,485417,184140,77,-,293644,7191,338,13,14,Eastern Region,Suphan Buri
ภาคตะวันตก,สมุทรสงคราม,82667,30341,136,-,52067,85,34,4,-,Eastern Region,Samut Songkhram
ภาคตะวันตก,เพชรบุรี,353486,141560,8,7,210058,1373,131,336,13,Eastern Region,Phetchaburi
ภาคตะวันตก,ประจวบคีรีขันธ์,345571,126354,83,107,217030,1840,101,27,29,Eastern Region,Prachuap Khiri Khan
ภาคเหนือ,รวม,7398066,2868739,2090,198,4343957,146968,2872,33048,194,Northern Region,Total
ภาคเหนือ,เชียงใหม่,1585249,705835,1258,134,873038,4478,425,34,47,Northern Region,Chiang Mai
ภาคเหนือ,ลำพูน,279763,104008,1,-,174152,1508,56,33,5,Northern Region,Lamphun
ภาคเหนือ,ลำปาง,462728,190975,14,2,268245,3230,134,123,5,Northern Region,Lampang
ภาคเหนือ,อุตรดิตถ์,273844,93909,1,-,159012,7220,103,13592,7,Northern Region,Uttaradit
ภาคเหนือ,แพร่,273874,102022,-,-,168645,2936,141,122,8,Northern Region,Phrae
ภาคเหนือ,น่าน,256677,95837,10,3,156413,4276,122,7,9,Northern Region,Nan
ภาคเหนือ,พะเยา,275119,101926,4,-,169156,3913,75,42,3,Northern Region,Phayao
ภาคเหนือ,เชียงราย,799798,318844,381,59,471217,7981,336,953,27,Northern Region,Chiang Rai
ภาคเหนือ,แม่ฮ่องสอน,79199,14168,12,-,64789,208,14,4,4,Northern Region,Mae Hong Son
ภาคเหนือ,นครสวรรค์,604348,227306,35,-,348747,25863,192,2196,9,Northern Region,Nakhon Sawan
ภาคเหนือ,อุทัยธานี,190471,72461,-,-,110581,6994,88,345,2,Northern Region,Uthai Thani
ภาคเหนือ,กำแพงเพชร,374691,136257,1,-,219624,17817,193,789,10,Northern Region,Kamphaeng Phet
ภาคเหนือ,ตาก,256809,88589,106,-,163598,4386,108,17,5,Northern Region,Tak
ภาคเหนือ,สุโขทัย,334911,110358,6,-,209004,12028,193,3309,13,Northern Region,Sukhothai
ภาคเหนือ,พิษณุโลก,566737,242803,211,-,304473,12177,264,6786,23,Northern Region,Phitsanulok
ภาคเหนือ,พิจิตร,295351,91098,2,-,194842,6728,209,2465,7,Northern Region,Phichit
ภาคเหนือ,เพชรบูรณ์,488497,172343,48,-,288421,25225,219,2231,10,Northern Region,Phetchabun
ภาคตะวันออกเฉียงเหนือ,รวม,9103781,3537440,2504,58,5222667,261229,3686,75386,811,Northeastern Region,Total
ภาคตะวันออกเฉียงเหนือ,นครราชสีมา,1440505,590285,777,-,756482,45668,491,46199,603,Northeastern Region,Nakhon Ratchasima
ภาคตะวันออกเฉียงเหนือ,บุรีรัมย์,560140,175120,67,-,367598,15021,550,1777,7,Northeastern Region,Buri Ram
ภาคตะวันออกเฉียงเหนือ,สุรินทร์,498536,160626,17,-,324401,12755,333,397,7,Northeastern Region,Surin
ภาคตะวันออกเฉียงเหนือ,ศรีสะเกษ,445280,158801,58,-,270463,15480,225,248,5,Northeastern Region,Si Sa Ket
ภาคตะวันออกเฉียงเหนือ,อุบลราชธานี,803457,333351,715,-,446600,22325,234,201,31,Northeastern Region,Ubon Ratchathani
ภาคตะวันออกเฉียงเหนือ,ยโสธร,221075,87021,-,-,127409,5764,171,709,1,Northeastern Region,Yasothon
ภาคตะวันออกเฉียงเหนือ,ชัยภูมิ,386866,132229,45,-,214413,20271,167,19728,13,Northeastern Region,Chaiyaphum
ภาคตะวันออกเฉียงเหนือ,อำนาจเจริญ,134896,50700,-,-,79827,4330,18,20,1,Northeastern Region,Amnat Charoen
ภาคตะวันออกเฉียงเหนือ,บึงกาฬ,134095,49001,4,-,82106,2946,37,1,-,Northeastern Region,Bueng Kan
ภาคตะวันออกเฉียงเหนือ,หนองบัวลำภู,170720,70931,-,-,89665,9700,136,282,6,Northeastern Region,Nong Bua Lam Phu
ภาคตะวันออกเฉียงเหนือ,ขอนแก่น,929886,456106,668,-,455264,16533,294,974,47,Northeastern Region,Khon Kaen
ภาคตะวันออกเฉียงเหนือ,อุดรธานี,752272,303084,36,46,424657,22813,219,1368,49,Northeastern Region,Udon Thani
ภาคตะวันออกเฉียงเหนือ,เลย,291931,122182,25,1,157911,11463,163,177,9,Northeastern Region,Loei
ภาคตะวันออกเฉียงเหนือ,หนองคาย,212678,82012,8,9,125915,4446,22,259,7,Northeastern Region,Nong Khai
ภาคตะวันออกเฉียงเหนือ,มหาสารคาม,377727,127076,23,-,241190,8671,103,658,6,Northeastern Region,Maha Sarakham
ภาคตะวันออกเฉียงเหนือ,ร้อยเอ็ด,452218,173324,10,-,265991,10820,116,1952,5,Northeastern Region,Roi Et
ภาคตะวันออกเฉียงเหนือ,กาฬสินธุ์,323358,133290,2,-,177885,11720,142,313,6,Northeastern Region,Kalasin
ภาคตะวันออกเฉียงเหนือ,สกลนคร,549662,181337,19,-,356471,11626,143,62,4,Northeastern Region,Sakon Nakhon
ภาคตะวันออกเฉียงเหนือ,นครพนม,233389,81269,20,-,146491,5492,61,53,3,Northeastern Region,Nakhon Phanom
ภาคตะวันออกเฉียงเหนือ,มุกดาหาร,185090,69695,10,2,111928,3385,61,8,1,Northeastern Region,Mukdahan
