ตาราง 18.5 สินทรัพย์ และหนี้สินของธนาคารแห่งประเทศไทย พ.ศ. 2564 - 2566,,,,
Table 18.5 Central Bank Sectoral Balance Sheet: 2021 - 2023,,,,
,,,,
,,,,(ล้านบาท  Million Baht)
รายการ,2564 (2021),2565 (2022),2566 (2023),Item
สินทรัพย์,9664349,8587376,8887254,Assets
ทองคำและสิทธิพิเศษถอนเงิน,669609,684176,744117,Monetary gold and SDRs
ทองคำ,479146,494783,553781,Monetary gold
สิทธิพิเศษถอนเงิน,190464,189393,190336,Special drawing rights (SDRs.)
เงินสดและเงินฝาก,1075492,1160518,880954,Currency and deposits
เงินฝากกระแสรายวัน,752828,615762,609438,Transferable deposits
เงินฝากอื่น,322664,544757,271516,Other deposits
เงินลงทุนในตราสารหนี้,6416173,5492037,5879766,Securities other than shares
สถาบันรับฝากเงินอื่น,2656,2593,2555,Securities other depository corp. 
รัฐบาลกลาง,444212,437048,431680,Securities central government
ผู้มีถิ่นที่อยู่ในต่างประเทศ,5969305,5052396,5445531,Securities nonresidents
เงินให้กู้ยืม,286490,263676,308871,Loans
เงินลงทุนในตราสารทุน,643362,561549,616053,Shares and other equity
สินทรัพย์ทางการเงินอื่น,557292,409435,441406,Other accounts receivable
สินเชื่อทางการค้าและอื่นๆ,127,155,229,Trade credit and advances
อื่นๆ,557165,409280,441177,Other accounts receivable other
รายการที่ไม่ใช่สินทรัพย์ทางการเงิน,15929,15985,16087,Nonfinancial assets
หนี้สิน,9664349,8587376,8887254,Liabilities
ธนบัตรที่หมุนเวียนในระบบเศรษฐกิจ,2319376,2323500,2422419,Banknotes in circulation
เงินรับฝากที่รวมในปริมาณเงิน,862,549,785,Deposits incl. in broad money
เงินรับฝากที่ไม่รวมในปริมาณเงิน,642633,627988,458305,Deposits excl. from broad money
ตราสารหนี้ที่ไม่รวมในปริมาณเงินและฐานเงิน,2868061,2382687,2232642,Securities other than shares excl. from BM&MB
เงินกู้ยืม,2488024,2526448,2753265,Loans
หนี้สินอื่น,656933,362249,383231,Other accounts payable
สิทธิพิเศษถอนเงินที่ได้รับจัดสรร,189505,187984,187369,SDR Allocations
ส่วนของทุน,498954,175972,449239,Shares and other equity
,,,,
ที่มา:  ธนาคารแห่งประเทศไทย,,,,
Source:  Bank of Thailand,,,,
