ตาราง 18.13 สหกรณ์ และสมาชิก จำแนกตามประเภทสหกรณ์ พ.ศ. 2563 - 2566    ,,,,,,,,,,,,
Table 18.13 Cooperative and Membership by Type of Cooperatives: 2020 - 2023,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,(ณ วันที่ 31 ธันวาคม  As of December 31),,,,,
ประเภทสหกรณ์,รายการ,2563 (2020),2564 (2021),2565 (2022),2566 (2023),Type of cooperatives,Item,,,,,
สหกรณ์ภาคการเกษตร,จำนวนสหกรณ์,3466,3363,3270,3193,Agricultural cooperative group ,Number of cooperatives,,,,,
สหกรณ์ภาคการเกษตร,จำนวนสมาชิก (คน),6395937,6310069,6360092,6169002,Agricultural cooperative group ,Membership (person),,,,, 
สหกรณ์การเกษตร,จำนวนสหกรณ์,3307,3208,3119,3048,Agricultural cooperatives,Number of cooperatives,,,,,
สหกรณ์การเกษตร,จำนวนสมาชิก (คน),6194702,6112704,6168190,5977072,Agricultural cooperatives,Membership (person),,,,,
สหกรณ์ประมง,จำนวนสหกรณ์,74,70,67,61,Fisheries cooperatives,Number of cooperatives,,,,,
สหกรณ์ประมง,จำนวนสมาชิก (คน),14424,12125,10942,10408,Fisheries cooperatives,Membership (person),,,,,
สหกรณ์นิคม,จำนวนสหกรณ์,85,85,84,84,Land settlement cooperatives,Number of cooperatives,,,,,
สหกรณ์นิคม,จำนวนสมาชิก (คน),186811,185240,180960,181522,Land settlement cooperatives,Membership (person),,,,,
สหกรณ์นอกภาคเกษตร,จำนวนสหกรณ์,3187,3157,3100,3075,Non agricultural cooperative group,Number of cooperatives,,,,,
สหกรณ์นอกภาคเกษตร,จำนวนสมาชิก (คน),5037503,5053826,4961655,4944458,Non agricultural cooperative group,Membership (person),,,,,
สหกรณ์ออมทรัพย์,จำนวนสหกรณ์,1417,1413,1401,1391,Thrift and credit cooperatives,Number of cooperatives,,,,,
สหกรณ์ออมทรัพย์,จำนวนสมาชิก (คน),3101782,3146326,3142169,3158583,Thrift and credit cooperatives,Membership (person),,,,,
สหกรณ์ร้านค้า,จำนวนสหกรณ์,126,120,106,105,Consumer cooperatives,Number of cooperatives,,,,,
สหกรณ์ร้านค้า,จำนวนสมาชิก (คน),655388,625891,544278,529644,Consumer cooperatives,Membership (person),,,,,
สหกรณ์บริการ,จำนวนสหกรณ์,1063,1042,1015,997,Services cooperatives,Number of cooperatives,,,,,
สหกรณ์บริการ,จำนวนสมาชิก (คน),481761,485034,486419,477923,Services cooperatives,Membership (person),,,,,
สหกรณ์เครดิตยูเนียน,จำนวนสหกรณ์,581,582,578,582,Credit union cooperatives,Number of cooperatives,,,,,
สหกรณ์เครดิตยูเนียน,จำนวนสมาชิก (คน),798572,796575,788789,778308,Credit union cooperatives,Membership (person),,,,,
,,,,,,,,,,,,
ที่มา:  กรมส่งเสริมสหกรณ์  กระทรวงเกษตรและสหกรณ์,,,,,,,,,,,,
"Source:  Cooperative Promotion Department,  Ministry of Agriculture and Cooperatives",,,,,,,,,,,,
