ตาราง 14.20 ดัชนีราคาผู้บริโภคทั่วไป จำแนกตามภาค และหมวดสินค้า พ.ศ. 2564- 2566,,,,,,,,
Table14.20 General Consumer Price Index by Region and Commodity Group: 2021 - 2023,,,,,,,,
,,,,,,,,
,,,,,,,,[2562 (2019) = 100]
ภาค,หมวดสินค้า,2564 (2021)_ดัชนีราคาผู้บริโภคทั่วไป (General consumer price index),2565 (2022)_ดัชนีราคาผู้บริโภคทั่วไป (General consumer price index),2566 (2023)_ดัชนีราคาผู้บริโภคทั่วไป (General consumer price index),2565 (2022)_อัตราเงินเฟ้อ (Inflation rate),2566 (2023)_อัตราเงินเฟ้อ (Inflation rate),Region,Commodity group
ทั่วราชอาณาจักร,ดัชนีราคาผู้บริโภคทั่วไป,100.37,106.47,107.78,6.08,1.23,Whole Kingdom,General consumer price index
ทั่วราชอาณาจักร,อาหารและเครื่องดื่มไม่มีแอลกอฮอล์,101.10,108.10,110.87,6.92,2.56,Whole Kingdom,Food and non-alcoholic beverages
ทั่วราชอาณาจักร,อื่น ๆ ไม่ใช่อาหาร และเครื่องดื่ม,100.04,105.55,105.86,5.51,0.29,Whole Kingdom,Non-food and beverages
ทั่วราชอาณาจักร,เครื่องนุ่งห่มและรองเท้า,99.77,99.81,100.05,0.04,0.24,Whole Kingdom,Apparel and footware
ทั่วราชอาณาจักร,เคหสถาน,97.27,101.89,103.12,4.75,1.21,Whole Kingdom,Housing and furnishing
ทั่วราชอาณาจักร,การตรวจรักษาและบริการส่วนบุคคล,100.49,101.62,103.22,1.12,1.57,Whole Kingdom,Medical and personal care
ทั่วราชอาณาจักร,พาหนะ การขนส่ง และการสื่อสาร,102.84,112.15,111.05,9.05,-0.98,Whole Kingdom,Transportation and  communication
ทั่วราชอาณาจักร,การบันเทิง การอ่าน การศึกษา และการศาสนา,99.61,99.84,100.80,0.23,0.96,Whole Kingdom,Recreation and education
ทั่วราชอาณาจักร,ยาสูบและเครื่องดื่มมีแอลกอฮอล์,100.30,102.31,103.12,2.00,0.79,Whole Kingdom,Tobacco and alcoholic beverages
ทั่วราชอาณาจักร,ดัชนีราคาผู้บริโภคพื้นฐาน,100.52,103.04,104.35,2.51,1.27,Whole Kingdom,Core consumer price index
ทั่วราชอาณาจักร,กลุ่มอาหารสดและพลังงาน,99.61,112.94,114.24,13.38,1.15,Whole Kingdom,Raw food and energy
ทั่วราชอาณาจักร,อาหารสด,100.70,107.56,110.10,6.81,2.36,Whole Kingdom,Raw food
ทั่วราชอาณาจักร,พลังงาน,98.96,123.20,122.43,24.49,-0.62,Whole Kingdom,Energy
กรุงเทพมหานคร และปริมณฑล(1),ดัชนีราคาผู้บริโภคทั่วไป,100.25,106.32,108.09,6.05,1.66,Bangkok and Vicinities(1),General consumer price index
กรุงเทพมหานคร และปริมณฑล(1),อาหารและเครื่องดื่มไม่มีแอลกอฮอล์,101.28,109.27,113.12,7.89,3.52,Bangkok and Vicinities(1),Food and non-alcoholic beverages
กรุงเทพมหานคร และปริมณฑล(1),อื่น ๆ ไม่ใช่อาหาร และเครื่องดื่ม,99.69,104.60,105.13,4.93,0.51,Bangkok and Vicinities(1),Non-food and beverages
