ตาราง 14.27 ราคาประกาศเฉลี่ยของแร่บางชนิดเพื่อใช้เก็บค่าภาคหลวง พ.ศ. 2562 - 2566,,,,,,
Table 14.27 Average Proclaimed Price of Selected Mineral for Royalty: 2019 - 2023,,,,,,
,,,,,,
,,,,,,(บาทต่อเมตริกตัน  Baht per Metric ton)
ชนิดแร่,2562 (2019),2563 (2020),2564 (2021),2565 (2022),2566 (2023),Kind of mineral
โลหะดีบุก (100%),578656,534385,912798,1086294,902774,Tin metal (100%)
สินแร่ดีบุก (72.075%),417067,385158,657899,782946,650674,Tin concentrate (72.075%)
สินแร่วุลแฟรม (70%),2411231,393612,519006,605141,603494,Wolfram ore (70%)
พลวง,28900,28900,28900,28900,28900,Antimony 
โลหะพลวง,42431,42431,42431,42431,42431,Antimony metal
ตะกั่ว (42.1%),26155,23996,29668,31692,31343,Lead (42.1%)
ตะกั่ว (100%),62125,56997,70471,75278,74448,Lead (100%)
โลหะตะกั่ว,12946,12946,12946,12946,12946,Lead metal
เหล็ก,1847,2260,2911,3487,3089,Iron
โลหะเหล็ก,1500,1500,1500,1500,1500,Iron metal
สังกะสี (22%),17453,15543,21151,26829,20261,Zinc ore (22%)
สังกะสี (100%),79331,70650,96139,121948,92095,Zinc ore (100%)
โลหะสังกะสี,80177,68669,93510,127803,128540,Zinc metal
แมงกานีส เกรดแบตเตอรี่,5650,5650,5650,5650,5650,Manganese Battery grade
แมงกานีส เกรดเคมี,5650,5650,5650,5650,5650,Manganese Chemical grade
แมงกานีส เกรดโลหกรรม,5310,5310,5310,5310,5310,Manganese Metallurgical grade
ฟลูออไรต์,4830,4991,5400,5511,7072,Fluorite
ฟลูออไรต์ (เกรดเคมี),22678,24796,23846,25753,27154,Fluorite (chemical grade)
แบไรต์ (ชนิดก้อน),1485,1485,1485,1485,1485,Barite (unground)
แบไรต์ (ชนิดบด) เกรดเคมี,9690,9690,9690,9690,9690,Barite (ground) chemical grade
ยิปซัม,586,584,588,644,646,Gypsum
,,,,,,
ที่มา:  กรมอุตสาหกรรมพื้นฐานและการเหมืองแร่  กระทรวงอุตสาหกรรม,,,,,,
"Source:  Department of Primary Industries and Mines,  Ministry of Industry",,,,,,
