ตาราง 14.25 ดัชนีราคาสินค้าวัสดุก่อสร้าง จำแนกตามหมวดสินค้า พ.ศ. 2564 - 2566,,,,,,
Table 14.25 Construction Materials Price Index by Commodity Group: 2021 - 2023,,,,,,
,,,,,,
,,,,,,[2558 (2015) = 100]
หมวดสินค้า,2564 (2021)_ดัชนีราคาสินค้าวัสดุก่อสร้าง (Construction materials price index),2565 (2022)_ดัชนีราคาสินค้าวัสดุก่อสร้าง (Construction materials price index),2566 (2023)_ดัชนีราคาสินค้าวัสดุก่อสร้าง (Construction materials price index),2565 (2022)_อัตราการเปลี่ยนแปลง (Percent change),2566 (2023)_อัตราการเปลี่ยนแปลง (Percent change),Commodity group
ดัชนีรวม,106.60,112.80,112.90,5.82,0.09,Total index
ไม้และผลิตภัณฑ์ไม้,117.20,124.20,131.90,5.97,6.20,Lumber and wood products
ซีเมนต์,92.20,98.10,100.00,6.40,1.94,Cement
ผลิตภัณฑ์คอนกรีต,103.70,108.90,110.40,5.01,1.38,Congrete ingredient
เหล็กและผลิตภัณฑ์เหล็ก,130.40,141.20,136.10,8.28,-3.61,Iron and Iron products
กระเบื้อง,104.40,108.90,109.80,4.31,0.83,Tiles
วัสดุฉาบผิว,102.20,104.00,107.50,1.76,3.37,Paints
สุขภัณฑ์,98.70,99.00,99.10,0.30,0.10,Sanitary ware
อุปกรณ์ไฟฟ้าและประปา,100.10,103.70,104.80,3.60,1.06,Electrical and plumbing
วัสดุก่อสร้างอื่น ๆ,96.40,102.00,101.70,5.81,-0.29,Others
,,,,,,
ที่มา:,สำนักงานนโยบายและยุทธศาสตร์การค้า กระทรวงพาณิชย์,,,,,
Source:,"Trade Policy and Strategic Office,  Ministry of Commerce",,,,,
