ตาราง 14.2 มูลค่าสินค้าขาเข้า ขาออก และดุลการค้า จำแนกตามประเทศ พ.ศ. 2565 - 2566,,,,,,,,,
"Table 14.2 Value of Imports, Exports and Balance of Trade by Country: 2022 - 2023",,,,,,,,,
,,,,,,,,,
,,,,,,,,,(ล้านบาท  Million Baht)
ประเทศ,2565 (2022)_สินค้าขาเข้า (Imports),2566 (2023)P_สินค้าขาเข้า (Imports), สินค้าขาเข้า (Imports)_อัตราการขยายตัว (Growth rate)(%) ,2565 (2022)_สินค้าขาออก (Exports)(1),2566 (2023)P_สินค้าขาออก (Exports) (1),สินค้าขาออก (Exports)(1)_อัตราการขยายตัว (Growth rate)(%) ,2565 (2022)_ดุลการค้า (Balance of trade),2566 (2023)P_ดุลการค้า (Balance of trade),Country
รวมยอด,10569641.9,10067743.3,-4.3,9957072.7,9827324.6,-1.5,-612569.2,-240418.7,Total
ญี่ปุ่น,1210019.8,1087201.9,-10.2,854930.6,847428.1,-0.6,-355089.2,-239773.8,Japan
จีน,2487122.8,2473698.0,-0.6,1191875.3,1177192.2,-1.3,-1295247.5,-1296505.8,China
สิงคโปร์,287503.9,283580.5,-0.7,354774.7,353472.4,-0.3,67270.7,69892.0,Singapore
ฮ่องกง,95777.6,90959.6,-5.0,348705.0,382468.4,9.7,252927.4,291508.8,"Hong Kong, China"
มาเลเซีย,504802.1,457338.4,-8.5,439167.2,412484.5,-6.8,-65634.9,-44853.9,Malaysia
อินโดนีเซีย,337931.2,288629.9,-13.8,357526.0,347743.2,-3.2,19594.8,59113.3,Indonesia
เวียดนาม,278952.0,269968.2,-3.0,460124.5,386792.6,-16.1,181172.5,116824.3,Vietnam
เกาหลี (ใต้),355305.4,302328.5,-15.0,221452.3,209140.6,-5.6,-133853.1,-93187.9,Korea (South)
ฟิลิปปินส์,133390.6,108267.1,-18.6,258371.1,275378.8,5.4,124980.5,167111.7,Philippines
อินเดีย,251317.4,206596.0,-17.8,364531.8,348477.8,-4.4,113214.4,141881.7,India
สหรัฐอาหรับเอมิเรตส์,598455.6,550202.7,-4.9,119794.7,114281.7,-7.1,-478660.8,-435921.0,United Arab Emirates
ไต้หวัน,415501.9,581889.9,40.1,163331.8,165992.2,1.3,-252170.1,-415897.7,"Taiwan, China"
กัมพูชา,38885.9,55644.8,43.1,301059.5,221907.0,-26.3,262173.5,166262.3,Cambodia
ซาอุดีอาระเบีย,247869.8,214366.8,-13.8,71925.9,94328.1,28.0,-175943.9,-120038.7,Saudi Arabia
ลาว,117002.9,104219.3,-10.9,157458.1,160026.7,1.7,40455.2,55807.4,Laos
เมียนมา,123873.7,105181.9,-15.1,162680.8,151920.5,-6.6,38807.1,46738.6,Myanmar
ตุรกี,13441.8,15306.4,15.0,49252.8,53218.4,8.1,35811.0,37912.0,Turkey
อิสราเอล,19454.6,15384.9,-20.9,29727.5,26972.4,-10.2,10272.8,11587.5,Israel
ปากีสถาน,13264.5,9115.0,-29.6,43798.3,29500.8,-32.6,30533.8,20385.8,Pakistan
อิหร่าน,1500.6,268.8,-82.1,5429.4,4659.2,-14.2,3928.8,4390.4,Iran
บังกลาเทศ,2938.5,3276.0,11.5,40243.5,39543.6,-6.1,37305.1,36267.7,Bangladesh
โอมาน,79976.1,42591.1,-46.5,16239.5,15319.0,-7.7,-63736.6,-27272.1,Oman
อิรัก,17.7,3.7,-79.0,35528.8,30998.6,-13.5,35511.1,30994.9,Iraq
ศรีลังกา,3061.7,4332.1,41.5,9369.2,10088.1,7.8,6307.5,5755.9,Sri Lanka
คูเวต,38306.2,21306.4,-40.2,11632.6,15615.5,23.2,-26673.6,-5691.0,Kuwait
