ตาราง 14.24 ดัชนีราคาผู้ผลิต จำแนกตามกิจกรรมการผลิต พ.ศ. 2564 - 2566,,,,,,
Table 14.24 Producer Price Index by Classification of Products Activity: 2021 - 2023,,,,,,
,,,,,,
,,,,,,[2558 (2015) = 100]
กิจกรรมการผลิต,2564 (2021)_ดัชนีราคาผู้ผลิต (Producer price index),2565 (2022)_ดัชนีราคาผู้ผลิต (Producer price index),2566 (2023)_ดัชนีราคาผู้ผลิต (Producer price index),2565 (2022)_อัตราการเปลี่ยนแปลง (Percent change),2566 (2023)_อัตราการเปลี่ยนแปลง (Percent change),Classification of products activity
ดัชนีรวม,102.30,112.90,110.20,10.36,-2.39,Total index
ผลิตภัณฑ์เกษตรกรรม และการประมง,104.50,112.30,112.70,7.46,0.36,Products of agriculture and fishing
ผลิตภัณฑ์ทางการเกษตร,103.00,110.80,111.50,7.57,0.63,Products of agriculture
ผลิตภัณฑ์จากการประมง,116.70,124.20,121.90,6.43,-1.85,Fishery Products
ผลิตภัณฑ์จากเหมือง,97.70,159.00,131.00,62.74,-17.61,Mining products
ถ่านหินและลิกไนต์,100.00,100.00,100.00,-,-,Coal and lignite
ปิโตรเลียมดิบและก๊าซธรรมชาติ,95.10,171.30,136.50,80.13,-20.32,Crude petroleum and natural gas
สินแร่โลหะ,130.70,156.30,128.30,19.59,-17.91,Metal ores
ผลิตภัณฑ์อื่นๆ ที่ได้จากการทำเหมือง,108.20,108.60,109.20,0.37,0.55,Other mining and quarrying products
ผลิตภัณฑ์อุตสาหกรรม,102.20,111.20,109.10,8.81,-1.89,Manufactured products
ผลิตภัณฑ์อาหาร,103.00,110.10,111.90,6.89,1.63,Food products
เครื่องดื่ม,100.20,101.20,106.50,1.00,5.24,Beverages
ผลิตภัณฑ์ยาสูบ,101.90,107.40,107.40,5.40,-,Tobacco products
สิ่งทอ,99.30,102.80,102.80,3.52,-,Textiles
เสื้อผ้าเครื่องแต่งกาย,100.60,102.10,102.80,1.49,0.69,Wearing apparel
เครื่องหนังและผลิตภัณฑ์,100.90,101.40,101.90,0.50,0.49,Leather and related products
ไม้และผลิตภัณฑ์จากไม้,99.70,102.20,102.60,2.51,0.39,Wood and products of wood
กระดาษและผลิตภัณฑ์กระดาษ,104.30,109.90,111.20,5.37,1.18,Paper and paper products
สิ่งพิมพ์และสิ่งที่เกี่ยวข้องกับการพิมพ์,99.70,100.70,104.20,1.00,3.48,Printing and related products
ผลิตภัณฑ์ที่ได้จากการกลั่นปิโตรเลียม,106.60,169.70,143.20,59.19,-15.62,Refined petroleum products
เคมีภัณฑ์และผลิตภัณฑ์เคมี,103.00,113.00,105.10,9.71,-6.99,Chemicals and chemical products
ผลิตภัณฑ์ทางเภสัชกรรม,100.40,97.10,96.90,-3.29,-0.21,Pharmaceutical products
ผลิตภัณฑ์ยางและพลาสติก,104.00,106.20,101.90,2.12,-4.05,Rubber and plastics products
ผลิตภัณฑ์ที่ทำจากแร่อโลหะ,100.50,103.20,106.20,2.69,2.91,Non-metallic mineral products
โลหะขั้นมูลฐาน,109.00,113.80,110.30,4.40,-3.08,Basic metals
ผลิตภัณฑ์โลหะประดิษฐ์,101.40,103.80,104.60,2.37,0.77,Fabricated metal products
ผลิตภัณฑ์คอมพิวเตอร์ และอิเล็กทรอนิกส์,92.80,96.60,96.20,4.09,-0.41,Computer and electronic products
อุปกรณ์ไฟฟ้า,99.00,99.00,99.00,-,-,Electrical equipment
เครื่องจักรและเครื่องมือ,103.50,106.50,106.40,-,-0.09,Machinery and equipment
ยานยนต์ ชิ้นส่วนและอุปกรณ์,101.50,102.70,103.40,1.18,0.68,"Motor vehicles, Parts and accessories"
จักรยานยนต์ จักรยาน ชิ้นส่วน และอุปกรณ์,100.20,100.20,100.20,-,-,"Motorcycles, Bicycles, Parts and accessories"
เฟอร์นิเจอร์,100.10,103.20,104.20,3.10,0.97,Furniture
ผลิตภัณฑ์อุตสาหกรรมอื่นๆ,121.50,127.90,132.90,5.27,3.91,Other manufactured goods
,,,,,,
ที่มา: สำนักงานนโยบายและยุทธศาสตร์การค้า กระทรวงพาณิชย์,,,,,,
"Source: Trade Policy and Strategic Office,  Ministry of Commerce",,,,,,
