ตาราง 14.11 การส่งออก ข้าว จำแนกตามประเทศ พ.ศ. 2564 - 2566,,,,,,,,
Table 14.11 Exports of Rice by Country: 2021 - 2023,,,,,,,,
,,,,,,,,
,,,,,,,,(ล้านบาท  Million Baht)
สินค้า,ประเทศ,2564 (2021),2565 (2022),2566 (2022)p,2565 (2022)_อัตราการขยายตัว (Growth rate) (%),2566 (2023)p_อัตราการขยายตัว (Growth rate) (%),Commodity,Country
ข้าว (ทุกชนิด),รวมยอด,109771.2,138697.5,178234.8,26.4,28.5,Rice (all types) ,Total
ข้าว (ทุกชนิด),อินโดนีเซีย,1197.5,1511.5,25480.3,26.2,1585.7,Rice (all types) ,Indonesia
ข้าว (ทุกชนิด),สหรัฐอเมริกา,16010.1,18690.9,21926.3,16.7,17.3,Rice (all types) ,United States
ข้าว (ทุกชนิด),แอฟริกาใต้,11102.6,11320.5,15817.3,2.0,39.7,Rice (all types) ,South Africa
ข้าว (ทุกชนิด),อิรัก,4079.7,23046.0,14373.1,464.9,-37.6,Rice (all types) ,Iraq
ข้าว (ทุกชนิด),จีน,10492.1,13589.9,10798.1,29.5,-20.5,Rice (all types) ,China
ข้าว (ทุกชนิด),ฟิลิปปินส์,1993.6,2579.7,7393.1,29.4,186.6,Rice (all types) ,Philippines
ข้าว (ทุกชนิด),มาเลเซีย,2134.6,1971.4,7359.9,-7.7,273.3,Rice (all types) ,Malaysia
ข้าว (ทุกชนิด),ญี่ปุ่น,4382.9,4488.6,5819.2,2.4,29.6,Rice (all types) ,Japan
ข้าว (ทุกชนิด),ฮ่องกง,4968.9,5027.9,4945.9,1.2,-1.6,Rice (all types) ,"Hong Kong, China"
ข้าว (ทุกชนิด),เซเนกัล,1928.9,3399.8,4612.2,76.3,35.7,Rice (all types) ,Senegal
ข้าว (ทุกชนิด),ประเทศอื่นๆ,51480.1,53071.3,59709.4,3.1,12.5,Rice (all types) ,Other countries
