ตาราง 12.7 ผู้ที่ได้รับอนุญาตให้ก่อสร้าง จำนวนสิ่งก่อสร้าง และพื้นที่ของสิ่งก่อสร้างที่มิใช่อาคารโรงเรือน จำแนกตามชนิดของสิ่งก่อสร้าง และภาค พ.ศ. 2566,,,,,,,,,,,
"Table  12.7 Permitted, Number and Area of Civil Engineering Construction by Type of Construction and Region: 2023",,,,,,,,,,,
,,,,,,,,,,,
รายการ,ชนิดของสิ่งก่อสร้าง,ทั่วราชอาณาจักร (Whole Kingdom),กรุงเทพมหานครและปริมณฑล (Bangkok and Vicinities),ภาคลาง (Central Region),ภาคตะวันออก (Eastern Region),ภาคตะวันตก (Western Region),ภาคเหนือ (Northern Region),ภาคตะวันออกเฉียงเหนือ (Northeastern Region),ภาคใต้ (Southern Region),Item,Type of construction
พื้นที่ของสิ่งก่อสร้างที่มิใช่อาคารโรงเรือน  (ความยาวเป็นเมตร),สะพาน,39952,31191,976,3978,338,2905,80,484,Area of civil engineering construction (Length in metre),Bridge
พื้นที่ของสิ่งก่อสร้างที่มิใช่อาคารโรงเรือน  (ความยาวเป็นเมตร),เขื่อน/คันดิน,57329,43018,893,4193,2966,2551,388,3320,Area of civil engineering construction (Length in metre),Dam
พื้นที่ของสิ่งก่อสร้างที่มิใช่อาคารโรงเรือน  (ความยาวเป็นเมตร),ท่อ/ทางระบายน้ำ,1626711,1199575,52371,195150,21545,50671,82266,25133,Area of civil engineering construction (Length in metre),Water drain
พื้นที่ของสิ่งก่อสร้างที่มิใช่อาคารโรงเรือน  (ความยาวเป็นเมตร),อื่น ๆ,15447,160,-  ,1890,79,220,- ,13098,Area of civil engineering construction (Length in metre),Others
พื้นที่ของสิ่งก่อสร้างที่มิใช่อาคารโรงเรือน  (พื้นที่เป็น ตร.ม.),รวมยอด,3109027,1246564,115084,698888,161910,395099,210298,281184,Area of civil engineering construction( Area in sq.m.),Total 
พื้นที่ของสิ่งก่อสร้างที่มิใช่อาคารโรงเรือน  (พื้นที่เป็น ตร.ม.),สระว่ายน้ำ,136854,36243,205,19499,9296,5828,3926,61857,Area of civil engineering construction( Area in sq.m.),Swimming pool
พื้นที่ของสิ่งก่อสร้างที่มิใช่อาคารโรงเรือน  (พื้นที่เป็น ตร.ม.),ปั๊มน้ำมัน,189312,27304,7833,43048,15610,20616,37478,37423,Area of civil engineering construction( Area in sq.m.),Petrol station
พื้นที่ของสิ่งก่อสร้างที่มิใช่อาคารโรงเรือน  (พื้นที่เป็น ตร.ม.),ท่าเรือ,9194,105,-  ,233,1128,129,-  ,7599,Area of civil engineering construction( Area in sq.m.),Harbour
พื้นที่ของสิ่งก่อสร้างที่มิใช่อาคารโรงเรือน  (พื้นที่เป็น ตร.ม.),สนามกีฬา,86608,26799,-  ,4845,6180,1890,16148,30746,Area of civil engineering construction( Area in sq.m.),Sport ground
พื้นที่ของสิ่งก่อสร้างที่มิใช่อาคารโรงเรือน  (พื้นที่เป็น ตร.ม.),ลานจอดรถ,1182997,496882,82342,292345,43361,88142,90619,89306,Area of civil engineering construction( Area in sq.m.),Car park
พื้นที่ของสิ่งก่อสร้างที่มิใช่อาคารโรงเรือน  (พื้นที่เป็น ตร.ม.),ป้ายโฆษณา,54912,24126,1802,7722,1127,5676,6296,8163,Area of civil engineering construction( Area in sq.m.),Advertising board
พื้นที่ของสิ่งก่อสร้างที่มิใช่อาคารโรงเรือน  (พื้นที่เป็น ตร.ม.),เสาส่งสัญญาณ ,22914,3931,644,11294,1001,1199,2380,2465,Area of civil engineering construction( Area in sq.m.),Phone antenna
พื้นที่ของสิ่งก่อสร้างที่มิใช่อาคารโรงเรือน  (พื้นที่เป็น ตร.ม.),อื่น ๆ ,1426236,631174,22258,319902,84207,271619,53451,43625,Area of civil engineering construction( Area in sq.m.),Others
,,,,,,,,,,,
 ที่มา: การประมวลข้อมูลพื้นที่การก่อสร้าง  สำนักงานสถิติแห่งชาติ  กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,,,,,,,,,,,
"Source: The Construction Area,  National Statistical Office,  Ministry of Digital of Economy and Society",,,,,,,,,,,
