ตาราง 12.1 สถานประกอบการ จำแนกตามกิจกรรมทางเศรษฐกิจ และขนาดสถานประกอบการ พ.ศ. 2564,,,,,,,,,
Table  12.1 Establishments by Economic Activity and Size of Establishment: 2021,,,,,,,,,
,,,,,,,,,
,,,,,,,,,(แห่ง  Establishment)
กิจกรรมทางเศรษฐกิจ,รวม (Total),ขนาดของสถานประกอบการ  1-5 คน (Size of establishment 1-5 persons),ขนาดของสถานประกอบการ 6-15 คน (Size of establishment '6-15 persons),ขนาดของสถานประกอบการ 16-25 คน (Size of establishment '16-25 persons),ขนาดของสถานประกอบการ 26-30 คน (Size of establishment '26-30 persons),ขนาดของสถานประกอบการ 31-50 คน (Size of establishment '31-50 persons),ขนาดของสถานประกอบการ 51-200 คน (Size of establishment '51-200 persons),ขนาดของสถานประกอบการมากกว่า > 200 คน (Size of establishment > 200 persons),Economic activity
รวมยอด,2626700,2314159,224253,38301,10353,16737,17922,4975,Total
การผลิต,453617,363356,50444,13374,4294,7392,10829,3928,Manufacturing                                                                                       
การจัดการและการบำบัดน้ำเสีย ของเสียและสิ่งปฎิกูล   ,4055,1959,1416,283,87,171,128,11,"Sewerage, waste management and remediation activities         "
การก่อสร้าง                                                                        ,66331,39613,20569,3113,767,1509,639,121,Construction                                                                                        
การขายส่งและการขายปลีก การซ่อมยานยนต์และจักรยานยนต์    ,190598,171453,14974,1984,543,905,686,53,Wholesale and retail trade; repair of motor vehicles and motorcycles
การขายส่ง                                                                                    ,141595,102070,28372,5245,1604,2276,1815,213,Wholesale trade                                                                                     
การขายปลีก                                                                                          ,883800,826981,47705,5292,980,1350,1329,163,Retail trade                                                                                        
กิจกรรมคลังสินค้าและกิจกรรมที่สนับสนุนการขนส่ง          ,4492,1901,1457,420,143,254,252,65,Warehousing and support activities for transportation activities
ที่พักแรม,34353,24498,6375,1598,362,639,756,125,Accommodation
บริการอาหารและเครื่องดื่ม,379055,351550,23816,2481,450,593,159,6,Food and beverage service activities
ข้อมูลข่าวสารและการสื่อสาร                                                                          ,9855,7165,1812,416,127,175,141,19,Information and communication 
กิจกรรมอสังหาริมทรัพย์.                                                                          ,132251,121912,8258,1120,289,422,201,49,Real estate activities                                                                              
กิจกรรมทางวิชาชีพ วิทยาศาสตร์และเทคนิค                                                            ,30155,22659,5876,887,188,267,240,38,"Professional, scientific and technical activities         "
กิจกรรมการบริหาร  และการบริการสนับสนุน                                                              ,43438,34117,6472,1204,329,567,594,155,Administration and  support service activities       
ศิลปะ ความบันเทิงและนันทนาการ                                                                      ,20008,16584,2517,512,126,132,114,23,"Arts, entertainment and recreation           "
กิจกรรมบริการอื่น ๆ                                                                            ,233097,228341,4190,372,64,85,39,6,Other service activities                                                                            
,,,,,,,,,
ที่มา: สำมะโนธุรกิจและอุตสาหกรรม พ.ศ. 2565 (ข้อมูลพื้นฐาน)  ทั่วราชอาณาจักร สำนักงานสถิติแห่งชาติ กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,,,,,,,,,
"Source: The 2022 Business and Industrial Census (Basic Information), Whole Kingdom, National Statistical Office, Ministry of Digital Economy and Society",,,,,,,,,
