ตาราง 12.9 การขอรับการส่งเสริมการลงทุน จำแนกตามกิจการ พ.ศ. 2566,,,,,,,,,,
Table  12.9 Investment Projects Submitted for Promotion Classified by Sector: 2023,,,,,,,,,,
,,,,,,,,,,
,,,,,,,(ล้านบาท  Million Baht),,, 
กิจการ,รวมจำนวนโครงการ (Total No. of projects),รวมเงินลงทุน (Total Investment),จำนวนโครงการไทย (No. Of Thai projects),จำนวนโครงการต่างชาติ (No. Of Foreign projects),เงินลงทุนไทย (Thai Investment),เงินลงทุนต่างชาติ (Foreign Investment),Sector,,,
รวมยอด,2307,848318,913,1394,185079,663239,Total,,,
เกษตร อาหารและเทคโนโลยีชีวภาพ,314,105473,211,103,50234,55239,"Agriculture, food and biotechnology industries",,,
การแพทย์,65,16347,39,26,11433,4914,Medical industry,,,
เครื่องจักรและยานยนต์,350,104807,45,305,20097,84710,Machinery and vehicles industry,,,
เครื่องใช้ไฟฟ้าและอิเล็กทรอนิกส์,265,342149,25,240,1809,340340,Electrical appliances and electronics industry,,,
อุตสาหกรรมโลหะและวัสดุ,215,49852,59,156,8117,41735,Metal and material industry,,,
เคมีและปิโตรเคมี,177,56881,56,121,6932,49949,Chemical and  petrochemical industry,,,
สาธารณูปโภค,471,92749,350,121,68392,24357,Public utilities,,,
ดิจิทัล,132,9506,52,80,3526,5980,Digital industry,,,
อุตสาหกรรมสร้างสรรค์,90,15424,23,67,1167,14257,Creative industry,,,
บริการที่มีมูลค่าสูง,228,55131,53,175,13371,41760,High value service,,,
,,,,,,,,,,
 ที่มา:  สำนักงานคณะกรรมการส่งเสริมการลงทุน  สำนักนายกรัฐมนตรี,,,,,,,,,,
"Source:  Thailand Board of Investment, Office of the Prime Minister",,,,,,,,,,
