 ตาราง  12.3 โรงงานอุตสาหกรรม(1/)   ที่จดทะเบียนไว้กับกระทรวงอุตสาหกรรม และได้รับอนุญาตให้ประกอบกิจการ (ตามพระราชบัญญัติโรงงาน พ.ศ. 2535) จำแนกตามภาค และจังหวัด พ.ศ. 2565 - 2566,,,,,,,,,,,
 Table   12.3  Establishments(1/) Operated Registration at Ministry of Industry (Factory Act B.E. 2535 (1992)) by Region and Province: 2022 - 2023,,,,,,,,,,,
,,,,,,,,,,,
ภาค,จังหวัด,2565 (2022)_จำนวนโรงงาน (Number of factories),2565 (2022)_เงินทุน (ล้านบาท)  (Investment (Million Baht)),2565 (2022)_จำนวนคนทำงาน (คน) (Number of persons engaged (person))_ชาย (male),2565 (2022)_จำนวนคนทำงาน (คน) (Number of persons engaged (person))_หญิง (Female),2566 (2023)_จำนวนโรงงาน (Number of factories),2566 (2023)_เงินทุน (ล้านบาท) ( Investment (Million Baht)),2566 (2023)_จำนวนคนทำงาน (คน) (Number of persons engaged (person))_ชาย (Male),2566 (2023)_จำนวนคนทำงาน (คน) (Number of persons engaged (person))_หญิง (Female),Region,Province
ภาคเหนือ,ตาก,473,22844,13605,23142,478,22939,13483,22836,Northern Region,Tak
ภาคเหนือ,สุโขทัย,363,15391,3940,1993,375,15852,4029,2004,Northern Region,Sukhothai
ภาคเหนือ,พิษณุโลก,441,24252,6730,6599,448,24302,6617,6152,Northern Region,Phitsanulok
ภาคเหนือ,พิจิตร,362,19357,4073,4706,351,19316,3740,3395,Northern Region,Phichit
ภาคเหนือ,เพชรบูรณ์,575,40897,12264,4981,566,41340,12293,5019,Northern Region,Phetchabun
ภาคตะวันออกเฉียงเหนือ,รวม,8997,669514,175948,139550,8935,699232,179284,140773,Northeastern Region,Total
ภาคตะวันออกเฉียงเหนือ,นครราชสีมา,1912,215125,59085,58143,1894,221489,60131,58565,Northeastern Region,Nakhon Ratchasima
ภาคตะวันออกเฉียงเหนือ,บุรีรัมย์,429,32952,6893,4610,422,32959,6865,4653,Northeastern Region,Buri Ram
ภาคตะวันออกเฉียงเหนือ,สุรินทร์,377,23198,9691,5844,373,22895,9692,5863,Northeastern Region,Surin
ภาคตะวันออกเฉียงเหนือ,ศรีสะเกษ,407,15137,3763,1597,382,15144,3533,1571,Northeastern Region,Si Sa Ket
ภาคตะวันออกเฉียงเหนือ,อุบลราชธานี,771,57900,10931,7869,773,60288,11177,7990,Northeastern Region,Ubon Ratchathani
ภาคตะวันออกเฉียงเหนือ,ยโสธร,216,4847,2453,1547,213,5310,2470,1590,Northeastern Region,Yasothon
ภาคตะวันออกเฉียงเหนือ,ชัยภูมิ,406,32822,6046,5899,408,36377,6239,5991,Northeastern Region,Chaiyaphum
ภาคตะวันออกเฉียงเหนือ,อำนาจเจริญ,163,10936,1594,356,166,11016,1610,358,Northeastern Region,Amnat Charoen
ภาคตะวันออกเฉียงเหนือ,บึงกาฬ,172,8999,2972,961,161,8754,2878,916,Northeastern Region,Bueng Kan
ภาคตะวันออกเฉียงเหนือ,หนองบัวลำภู,123,13347,3138,1893,122,13422,3195,1949,Northeastern Region,Nong Bua Lam Phu
ภาคตะวันออกเฉียงเหนือ,ขอนแก่น,909,105582,27469,30474,914,107220,28568,30658,Northeastern Region,Khon Kaen
ภาคตะวันออกเฉียงเหนือ,อุดรธานี,779,42174,12629,5840,781,44791,12744,5935,Northeastern Region,Udon Thani
ภาคตะวันออกเฉียงเหนือ,เลย,291,18216,3812,1073,281,18137,3721,994,Northeastern Region,Loei
ภาคตะวันออกเฉียงเหนือ,หนองคาย ,219,7473,2948,1586,229,16179,3381,1741,Northeastern Region,Nong Khai
ภาคตะวันออกเฉียงเหนือ,มหาสารคาม,244,12144,3694,3263,241,12115,3711,3303,Northeastern Region,Maha Sarakham
ภาคตะวันออกเฉียงเหนือ,ร้อยเอ็ด,432,17177,5238,3213,431,17426,5197,3148,Northeastern Region,Roi Et
ภาคตะวันออกเฉียงเหนือ,กาฬสินธุ์,400,21194,5527,1809,406,23962,5850,1947,Northeastern Region,Kalasin
ภาคตะวันออกเฉียงเหนือ,สกลนคร,358,15290,3995,1507,353,15337,3981,1529,Northeastern Region,Sakon Nakhon
ภาคตะวันออกเฉียงเหนือ,นครพนม,254,8082,2438,1600,247,8226,2425,1526,Northeastern Region,Nakhon Phanom
ภาคตะวันออกเฉียงเหนือ,มุกดาหาร,135,6920,1632,466,138,8185,1916,546,Northeastern Region,Mukdahan
