ตาราง 12.13 การใช้แร่ที่สำคัญ จำแนกตามชนิดแร่ พ.ศ. 2563 - 2565,,,,
Table 12.13 Consumption of Principal Minerals by Kind of Mineral: 2020 - 2022,,,,
,,,,
,,,,(ตัน  Ton)
ชนิดแร่,2563 (2020) r,2564 (2021) r,2565 (2022),Kind of mineral
หินปูน (หินอุตสาหกรรมชนิดก่อสร้าง),104245512,106695518,105680134,Limestone (industrial rock-construction)
หินปูน (หินอุตสาหกรรมซีเมนต์),60942224,61305081,50583555,Limestone (industrial rock-cement)
ลิกไนต์,13404786,14166312,14124565,Lignite
หินบะซอลต์ (หินอุตสาหกรรม),14390606,14451214,13645310,Basalt (industrial rock)
แกรนิต (หินอุตสาหกรรมชนิดก่อสร้าง),12217021,12480086,12176732,Granite (industrial rock-construction)
หินดินดาน (หินอุตสาหกรรมซีเมนต์),3269369,2997327,2907473,Shale (industrial rock-cement)
หินปูน (หินอุตสาหกรรมอื่น ๆ),8675260,8644824,7086510,Limestone (industrial rock-others)
ยิปซัม,3537593,3970895,3819486,Gypsum 
แอนดิไซด์ (หินอุตสาหกรรม),2177153,1558114,859080,Andesite (industrial rock)
เกลือหิน,1465622,1556196,1748267,Rock salt
หินอ่อน (เศษหิน)(1),341324,484143,149126,Marble (fragment)(1)
ทรายแก้ว,1278387,1307804,1222471,Glass sand
ดินอุตสาหกรรม (ชนิดดินซีเมนต์),6696958,7914512,5113323,Cement clay
ดินอุตสาหกรรม (ชนิดดินเหนียวสี),516770,607943,620094,Ceramic clay
แคลไซต์,1398348,1561578,1323299,Calcite
โดโลไมต์ (ชนิดก้อน),-,3104023,3377935,Dolomite (unground)
ดินขาว (ไม่ได้ทำการแต่งแร่),533568,544844,705259,Kaolin (unwashed)
บอลเคลย์,322490,554415,406166,Ball clay
เฟลด์สปาร์ (โซเดียม ชนิดก้อน),634231,495876,2146650,Feldspar (sodium unground)
เฟลด์สปาร์ (โซเดียม ชนิดบด),12541,27220,63028,Feldspar (sodium ground)
ดินขาว (ทำการแต่งแร่แล้ว),84121,87291,91553,Kaolin (washed)
ไพโรฟิลไลต์,27559,26172,31794,Pyrophyllite
หินอ่อน (หินประดับ) (1),20773,7134,5123,Marble (dimension stone) (1)
โลหะสังกะสี,-,-,-,Zinc metal
ดินมาร์ล,19374,28572,53889,Marl
แกรนิต (หินประดับ) (1),2104,3527,3513,Granite (dimension stone) (1)
ทัลก์ (ชนิดก้อน),6128,2504,-,Talc (unground)
โลหะดีบุก,1756,2529,2409,Tin metal
เฟลด์สปาร์ (โปแตสเซียม ชนิดก้อน),-,-,-,Feldspar (potassium unground)
หินทราย (หินอุตสาหกรรม),995425,1157139,1383636,Sand stone (industrial rock)
ควอร์ตซ์ (ชนิดก้อน),31500,23000,-,Quartz (unground)
,,,,
(1)   หน่วยเป็นลูกบาศก์เมตร ,,,,
(1)    Unit in cubic metre,,,,
ที่มา: กรมอุตสาหกรรมพื้นฐานและการเหมืองแร่  กระทรวงอุตสาหกรรม ,,,,
"Source:   Department of Primary Industries and Mines,  Ministry of Industry",,,,
