ตาราง 13.9 ปริมาณน้ำมันเชื้อเพลิงที่ผู้ค้าจำหน่ายให้ลูกค้า จำแนกตามชนิดของน้ำมันเชื้อเพลิง และสถานีบริการ พ.ศ. 2566  ,,,,,,,,
Table 13.9 Sales Energy by Type of Fuel and Service Stations: 2023,,,,,,,,
,,,,,,,,
,,,,,,,,(พันลิตร  Thousand litre)
ชนิดของน้ำมันเชื้อเพลิง,รวมยอด (Total),ปตท. (PTT),เชลล์ (shell),ซัสโก้ (Susco),เชฟรอน (ไทย) Chevron (Thailand),บางจาก (BCP),อื่นๆ (Others),Type of Fuel
น้ำมันแก๊สโซฮอล์ อี10 ออกเทน 91,2514479,5973,257380,49205,90171,358943,1752806,Gasohol E10 octane 91
น้ำมันแก๊สโซฮอล์ อี10 ออกเทน 95,6270665,18982,180004,115391,306216,966473,4683598,Gasohol E10 octane 95
น้ำมันแก๊สโซฮอล์ อี10 ออกเทน 95 (ชนิดพิเศษ),288301,10,231941,2565,-,4438,49348,Gasohol E10 octane 95 (Premium)
น้ำมันแก๊สโซฮอล์ อี20,2146551,2992,215790,18779,57697,403671,1447622,Gasohol E20
น้ำมันแก๊สโซฮอล์ อี85,56778,469,-,-,-,22125,34183,Gasohol E85
น้ำมันเบนซิน ออกเทน 91,113855,-,998,17,-,-,112840,ULG 91
น้ำมันเบนซิน,168339,7050,7193,9671,20343,-,124083,ULG
น้ำมันดีเซลหมุนเร็ว บี 7,23212763,326821,1714643,318449,1018872,3415335,16418643,ADO B7
น้ำมันดีเซลหมุนเร็ว บี 7 (ชนิดพิเศษ),186188,-,152504,493,6136,-,27056,ADO B7 (Premium)
น้ำมันดีเซลหมุนเร็วธรรมดา (ชนิดพิเศษ),554,-,554,-,-,-,-,ADO (Premium)
น้ำมันดีเซลหมุนเร็ว บี 7 (ชนิดพิเศษ) ยูโร 5,109684,432,-,107,-,14999,94146,ADO B7 (Premium) Euro 5
น้ำมันดีเซลหมุนเร็วธรรมดา,281047,17863,31489,12,3917,46910,180856,ADO
น้ำมันดีเซลหมุนเร็ว บี 20,54694,49069,1822,-,6,-,3797,ADO B20
น้ำมันดีเซลพื้นฐาน (10 PPM),2907,-,1195,-,-,-,1712,Base diesel (10 PPM)
น้ำมันดีเซลพื้นฐาน (50 PPM),1201228,18094,2788,-,315078,72898,792369,Base diesel (50 PPM)
น้ำมันดีเซลกำมะถันสูง,80191,-,9567,-,-,-,70624,High sulphur diesel
น้ำมันดีเซลเขตต่อเนื่อง (น้ำมันเขียว),23331,-,-,-,-,-,23331,Ado sell in contiguous zone
น้ำมันเตา,1967624,20086,149455,-,3023,103383,1691677,Fuel oil
ก๊าซแอลพีจี(1),3641293,3740,-,-,-,17564,3619989,LPG(1)
โพรเพน(1),399776,392874,-,-,-,-,6903,Propane(1)
บิวเทน(1),1607,-,-,-,-,-,1607,Butane(1)
,,,,,,,,
(1) ปริมาณเป็นพันกิโลกรัม ,,,         ,,,,,
(1) Quantities in thousand kilogram,,,,,,,,
ที่มา: กรมธุรกิจพลังงาน  กระทรวงพลังงาน,,,,,,,,
"Source: Department of Energy Business,  Ministry of Energy  ",,,,,,,,
