ตาราง 19.5  สรุปงบประมาณรายจ่ายของประเทศ จำแนกตามกระทรวง กรม และส่วนราชการอิสระ ปีงบประมาณ 2565 - 2567     ,,,,,,
"Table 19.5  Summary of Budget Expenditure by Ministry, Department and Independent Public Agency: Fiscal Years 2022 - 2024",,,,,,
,,,,,,
,,,,,,(ล้านบาท  Million Baht)
การจำแนก,ส่วนราชการ,2565 (2022),2566 (2023),2567 (2024),Classification ,Government organizational
รวมยอด,รวม,3100000.0,3185000.0,3480000.0,Total,Total
งบกลาง,รวม,587409.3,590470.0,606765.0,Central Fund,Total
งบกลาง,ค่าใช้จ่ายเกี่ยวกับการเสด็จพระราชดำเนินและต้อนรับประมุขต่างประเทศ,800.0,800.0,800.0,Central Fund,"Expenditure in relation to Royal Journeys and Visits, including Reception of Heads of States"
งบกลาง,ค่าใช้จ่ายชดใช้เงินทดรองราชการเพื่อช่วยเหลือผู้ประสบภัยพิบัติกรณีฉุกเฉิน,5000.0,2000.0,4000.0,Central Fund,Expenditure for Reimbursement of Emergency Financial Assistance to Disaster Victims
งบกลาง,ค่าใช้จ่ายตามโครงการอันเนื่องมาจากพระราชดำริ,2300.0,2500.0,2500.0,Central Fund,Expenditure under Royal Development Projects
งบกลาง,ค่าใช้จ่ายในการรักษาพยาบาล ข้าราชการ ลูกจ้าง และพนักงานของรัฐ,74000.0,76000.0,76000.0,Central Fund,"Expenditure for Medical Care of Civil Servants, Employees and Public Personnel"
งบกลาง,เงินชดเชยค่างานสิ่งก่อสร้าง,500.0,500.0,800.0,Central Fund,Compensation for Construction Costs
งบกลาง,เงินช่วยเหลือข้าราชการ ลูกจ้าง และพนักงานของรัฐ,4360.0,4200.0,4520.0,Central Fund,"Financial Assistance for Civil Servants, Employees and Public Personnel"
งบกลาง,เงินเบี้ยหวัด บำเหน็จ บำนาญ,310600.0,322790.0,329430.0,Central Fund,Pensions and Gratuities
งบกลาง,เงินเลื่อน เงินเดือน และเงินปรับวุฒิข้าราชการ,11547.3,10000.0,11000.0,Central Fund,Salary and Education Adjustments for Civil Servants
