ตาราง 16.2 ธนาณัติ และตั๋วแลกเงินไปรษณีย์ พ.ศ. 2557 - 2566,,,,,,
Table 16.2 Money Order and Postal Order: 2014 - 2023,,,,,,
,,,,,,
,,,,,,(ฉบับ  Number)
ปี (Year),ธนาณัติในประเทศ (Domestic money order)_รับฝาก (Issued),ธนาณัติในประเทศ (Domestic money order)_จ่าย (Paid),ธนาณัติระหว่างประเทศ (International money order)_รับฝาก (Issued),ธนาณัติระหว่างประเทศ (International money order)_จ่าย (Paid),ตั๋วแลกเงินไปรษณีย์ (Postal order)_จำหน่าย (Sold),ตั๋วแลกเงินไปรษณีย์ (Postal order)_จ่าย (Paid)
2557 (2014),10857290,11434654,109,7300,3877,7362
2558 (2015),9372050,10186858,102,6427,-,-
2559 (2016),8263924,9131272,89,5461,-,-
2560 (2017),2127077,2812601,52,3419,-,-
2561 (2018),3252487,3914563,49,3680,-,-
2562 (2019),3394702,2854484,54,2640,-,-
2563 (2020),2823966,2879254,545,555,-,-
2564 (2021),1927317,1918808,-,-,-,-
2565 (2022),1485902,1493050,-,-,-,-
2566 (2023),939987,942313,-,-,-,-
,,,,,,
หมายเหตุ: ยกเลิกตั๋วแลกเงินไปรษณีย์ ตั้งแต่ 1 พฤษภาคม 2557,,,,,,
Note: Postal Money order Service is no Longer in Service Effective 1 May 2014.,,,,,,
ที่มา: บริษัท ไปรษณีย์ไทย จำกัด กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,,,,,,
"Source: Thailand Post Co., Ltd., Ministry of Digital Economy and Society",,,,,,
