ตาราง 11.4 การปลูกข้าวนาปี จำแนกตามภาค และจังหวัด พ.ศ. 2565 - 2566,,,,,,,,,,,
Table   11.4 Major Rice Cultivation by Region and Province: 2022 - 2023,,,,,,,,,,,
,,,,,,,,,,,
ภาค,จังหวัด,2565 (2022) (r)_เนื้อที่เพาะปลูก (ไร่) (Planted area (Rai)),2565 (2022) (r)_เนื้อที่เก็บเกี่ยว (ไร่) (Harvested area (Rai)),2565 (2022) (r)_ผลผลิต (ตัน) (Production (Ton)),2565 (2022) (r)_ผลผลิตต่อไร่ (กก.) (Yield per rai (Kg.)),2566 (2023) (f)_เนื้อที่เพาะปลูก (ไร่) (Planted area (Rai)),2566 (2023) (f)_เนื้อที่เก็บเกี่ยว (ไร่) (Harvested area (Rai)),2566 (2023) (f)_ผลผลิต (ตัน) (Production (Ton)),2566 (2023) (f)_ผลผลิตต่อไร่ (กก.) (Yield per rai (Kg.)),Region,Province
ภาคตะวันออกเฉียงเหนือ,บุรีรัมย์,2998520,2823772,1042769,369,2957220,2721709,955869,351,Northeastern Region,Buri Ram
ภาคตะวันออกเฉียงเหนือ,สุรินทร์,3133327,2877713,1092788,380,3082080,2820260,1014170,360,Northeastern Region,Surin
ภาคตะวันออกเฉียงเหนือ,ศรีสะเกษ,3028471,2722928,965843,355,2997330,2847586,1016736,357,Northeastern Region,Si Sa Ket
ภาคตะวันออกเฉียงเหนือ,อุบลราชธานี,4125528,3899384,1395640,358,4095170,3891181,1403110,361,Northeastern Region,Ubon Ratchathani
ภาคตะวันออกเฉียงเหนือ,ยโสธร,1364345,1245176,467723,376,1357280,1233612,466616,378,Northeastern Region,Yasothon
ภาคตะวันออกเฉียงเหนือ,ชัยภูมิ,1784176,1542206,590958,383,1727150,1535463,562594,366,Northeastern Region,Chaiyaphum
ภาคตะวันออกเฉียงเหนือ,อำนาจเจริญ,1077763,1063568,385838,363,1074470,1031490,365385,354,Northeastern Region,Amnat Charoen
ภาคตะวันออกเฉียงเหนือ,บึงกาฬ,481427,478723,152733,319,480130,461003,144055,312,Northeastern Region,Bueng Kan
ภาคตะวันออกเฉียงเหนือ,หนองบัวลำภู,747136,705971,252804,358,717190,676065,229652,340,Northeastern Region,Nong Bua Lam Phu
ภาคตะวันออกเฉียงเหนือ,ขอนแก่น,2402112,2094724,713589,341,2376260,2077144,682635,329,Northeastern Region,Khon Kaen
ภาคตะวันออกเฉียงเหนือ,อุดรธานี,2027391,2004376,732991,366,2006460,1956392,700277,358,Northeastern Region,Udon Thani
ภาคตะวันออกเฉียงเหนือ,เลย,436985,431866,153387,355,430210,415203,141283,340,Northeastern Region,Loei
ภาคตะวันออกเฉียงเหนือ,หนองคาย,601167,591126,218316,369,597460,585604,207681,355,Northeastern Region,Nong Khai
ภาคตะวันออกเฉียงเหนือ,มหาสารคาม,2130023,1886774,683211,362,2106810,1897034,665422,351,Northeastern Region,Maha Sarakham
ภาคตะวันออกเฉียงเหนือ,ร้อยเอ็ด,3094018,2729199,947627,347,3061720,2753335,932135,339,Northeastern Region,Roi Et
ภาคตะวันออกเฉียงเหนือ,กาฬสินธุ์,1505471,1417369,528027,373,1503890,1403376,509644,363,Northeastern Region,Kalasin
ภาคตะวันออกเฉียงเหนือ,สกลนคร,2162686,2143595,740802,346,2151670,2087549,697481,334,Northeastern Region,Sakon Nakhon
ภาคตะวันออกเฉียงเหนือ,นครพนม,1483507,1477249,518629,351,1473010,1421703,486796,342,Northeastern Region,Nakhon Phanom
ภาคตะวันออกเฉียงเหนือ,มุกดาหาร,461032,458722,186921,407,458980,449917,180872,402,Northeastern Region,Mukdahan
ภาคใต้,รวมทั้งหมด,605482,600128,284770,475,588590,581056,272018,468,Southern Region,total
ภาคใต้,นครศรีธรรมราช,172946,168886,83319,493,169070,164470,79935,486,Southern Region,Nakhon Si Thammarat
ภาคใต้,กระบี่,6257,6247,1976,316,6030,6022,1861,309,Southern Region,Krabi
ภาคใต้,พังงา,2039,2039,713,350,1990,1990,680,342,Southern Region,Phang-nga
ภาคใต้,ภูเก็ต,45,45,20,444,40,40,17,425,Southern Region,Phuket
ภาคใต้,สุราษฎร์ธานี,16677,16672,5242,314,16250,16193,4960,306,Southern Region,Surat Thani
ภาคใต้,ระนอง,539,539,207,384,520,520,198,381,Southern Region,Ranong
ภาคใต้,ชุมพร,2222,2216,937,423,2140,2125,891,419,Southern Region,Chumphon
ภาคใต้,สงขลา,153596,152875,82013,536,150320,149601,79654,532,Southern Region,Songkhla
ภาคใต้,สตูล,14658,14658,5479,374,13600,13600,5037,370,Southern Region,Satun
ภาคใต้,ตรัง,9487,9487,3827,403,8410,8410,3366,400,Southern Region,Trang
ภาคใต้,พัทลุง,112418,112072,51081,456,109890,108262,48430,447,Southern Region,Phatthalung
ภาคใต้,ปัตตานี,66478,66272,29694,448,65650,65322,28886,442,Southern Region,Pattani
ภาคใต้,ยะลา,18764,18764,6467,345,16790,16723,5608,335,Southern Region,Yala
ภาคใต้,นราธิวาส,29356,29356,13795,470,27890,27778,12495,450,Southern Region,Narathiwat
,,,,,,,,,,,
ที่มา: สำนักงานเศรษฐกิจการเกษตร  กระทรวงเกษตรและสหกรณ์,,,,,,,,,,,
"Source: Office of Agricultural Economics,  Ministry of Agriculture and Cooperatives",,,,,,,,,,,
