ตาราง 11.5 การปลูกข้าวนาปรัง จำแนกตามภาค และจังหวัด พ.ศ. 2566 - 2567,,,,,,,,,,,
Table  11.5 Second Rice Cultivation by Region  and Province: 2023 - 2024,,,,,,,,,,,
,,,,,,,,,,,
ภาค,จังหวัด,2566 (2023) (p)_เนื้อที่เพาะปลูก (ไร่)  (Planted area (Rai)),2566 (2023) (p)_เนื้อที่เก็บเกี่ยว (ไร่) (Harvested area (Rai)),2566 (2023) (p)_ผลผลิต (ตัน) (Production (Ton)),2566 (2023) (p)_ผลผลิตต่อไร่ (กก.) (Yield per rai (Kg.)),2567 (2024) (f)_เนื้อที่เพาะปลูก (ไร่) (Planted area (Rai)),2567 (2024) (f)_เนื้อที่เก็บเกี่ยว (ไร่) (Harvested area (Rai)),2567 (2024) (f)_ผลผลิต (ตัน) (Production (Ton)),2567 (2024) (f)_ผลผลิตต่อไร่(กก.) (Yield per rai (Kg.)),Region,Province
ภาคตะวันออกเฉียงเหนือ,อุบลราชธานี,155354,154981,75011,484,154231,153780,74720,486,Northeastern Region,Ubon Ratchathani
ภาคตะวันออกเฉียงเหนือ,ยโสธร,70517,70381,39568,562,69066,68824,38817,564,Northeastern Region,Yasothon
ภาคตะวันออกเฉียงเหนือ,ชัยภูมิ,87723,87339,54803,627,57664,57267,34651,605,Northeastern Region,Chaiyaphum
ภาคตะวันออกเฉียงเหนือ,อำนาจเจริญ,2190,2190,1071,489,1719,1702,832,489,Northeastern Region,Amnat Charoen
ภาคตะวันออกเฉียงเหนือ,บึงกาฬ,14559,14479,7504,518,13216,13089,6865,524,Northeastern Region,Bueng Kan
ภาคตะวันออกเฉียงเหนือ,หนองบัวลำภู,15701,15483,7962,514,14457,14229,7263,510,Northeastern Region,Nong Bua Lam Phu
ภาคตะวันออกเฉียงเหนือ,ขอนแก่น,147208,146871,83618,569,142280,141863,79651,561,Northeastern Region,Khon Kaen
ภาคตะวันออกเฉียงเหนือ,อุดรธานี,40603,40459,21109,522,39974,39777,21078,530,Northeastern Region,Udon Thani
ภาคตะวันออกเฉียงเหนือ,เลย,588,588,239,406,431,431,173,401,Northeastern Region,Loei
ภาคตะวันออกเฉียงเหนือ,หนองคาย,86457,85980,44758,521,85917,85416,44923,526,Northeastern Region,Nong Khai
ภาคตะวันออกเฉียงเหนือ,มหาสารคาม,191184,190823,113291,594,175821,174902,102650,587,Northeastern Region,Maha Sarakham
ภาคตะวันออกเฉียงเหนือ,ร้อยเอ็ด,250156,248810,144395,580,229153,227801,128397,564,Northeastern Region,Roi Et
ภาคตะวันออกเฉียงเหนือ,กาฬสินธุ์,279519,278143,182181,655,274373,272606,177376,651,Northeastern Region,Kalasin
ภาคตะวันออกเฉียงเหนือ,สกลนคร,65935,65230,30792,472,85158,84077,40139,477,Northeastern Region,Sakon Nakhon
ภาคตะวันออกเฉียงเหนือ,นครพนม,66641,66376,34007,512,63818,63355,32729,517,Northeastern Region,Nakhon Phanom
ภาคตะวันออกเฉียงเหนือ,มุกดาหาร,802,802,432,539,775,775,403,520,Northeastern Region,Mukdahan
ภาคใต้,รวมทั้งหมด,88525,88405,47640,539,86214,86023,44660,519,Southern Region,total
ภาคใต้,นครศรีธรรมราช,4314,4294,2016,469,4051,4019,1816,452,Southern Region,Nakhon Si Thammarat
ภาคใต้,สุราษฎร์ธานี,1679,1679,793,472,1364,1351,618,457,Southern Region,Surat Thani
ภาคใต้,ชุมพร,446,446,204,457,328,328,146,445,Southern Region,Chumphon
ภาคใต้,สงขลา,41680,41580,21634,520,41965,41825,21361,511,Southern Region,Songkhla
ภาคใต้,พัทลุง,21700,21700,12017,554,22051,22045,11208,508,Southern Region,Phatthalung
ภาคใต้,ปัตตานี,18706,18706,10976,587,16455,16455,9511,578,Southern Region,Pattani
อื่นๆ(1),รวมทั้งหมด,118,118,61,517,74,74,37,500,Others(1),total
,,,,,,,,,,,
(1) อื่นๆ ได้แก่ แม่ฮ่องสอน กระบี่ ตรัง สตูล และนราธิวาส,,,,,,,,,,,
"(1) Others are Mae Hong Son, Krabi, Trang, Satun and Narathiwat",,,,,,,,,,,
ที่มา: สำนักงานเศรษฐกิจการเกษตร กระทรวงเกษตรและสหกรณ์,,,,,,,,,,,
"Source: Office of Agricultural Economics, Ministry of Agriculture and Cooperatives",,,,,,,,,,,
