ตาราง 11.3 เนื้อที่ใช้ประโยชน์ทางการเกษตร จำแนกตามภาค และจังหวัด พ.ศ. 2565,,,,,,,,
Table 11.3 Agricultural Landuse by Region and Province: 2022,,,,,,,,
,,,,,,,,
,,,,,,,,(ไร่  Rai)
ภาค,จังหวัด,นาข้าว (Paddy land),พืชไร่ (Upland field crop),สวนไม้ผล ไม้ยืนต้น (Fruit trees and perennial trees),"สวนผัก ไม้ดอก/ไม้ประดับ (Vegetable, cut flowers and ornamental plant) ",อื่นๆ (Others),Region,Province
ภาคตะวันออกเฉียงเหนือ,ยโสธร,1378370,202082,129608,2150,112465,Northeastern Region,Yasothon
ภาคตะวันออกเฉียงเหนือ,ชัยภูมิ,1792746,1484058,159376,4350,223663,Northeastern Region,Chaiyaphum
ภาคตะวันออกเฉียงเหนือ,อำนาจเจริญ,1096695,253794,108285,1019,104579,Northeastern Region,Amnat Charoen
ภาคตะวันออกเฉียงเหนือ,บึงกาฬ,545429,16699,975184,2933,98602,Northeastern Region,Bueng Kan
ภาคตะวันออกเฉียงเหนือ,หนองบัวลำภู,761529,453675,161424,1392,76054,Northeastern Region,Nong Bua Lam Phu
ภาคตะวันออกเฉียงเหนือ,ขอนแก่น,2406688,937345,121304,10251,398445,Northeastern Region,Khon Kaen
ภาคตะวันออกเฉียงเหนือ,อุดรธานี,2069646,1134425,695751,7513,531509,Northeastern Region,Udon Thani
ภาคตะวันออกเฉียงเหนือ,เลย,436087,1005877,1059076,4677,149076,Northeastern Region,Loei
ภาคตะวันออกเฉียงเหนือ,หนองคาย,607751,130707,410849,8935,141982,Northeastern Region,Nong Khai
ภาคตะวันออกเฉียงเหนือ,มหาสารคาม,2154449,314920,33084,3021,283496,Northeastern Region,Maha Sarakham
ภาคตะวันออกเฉียงเหนือ,ร้อยเอ็ด,3083977,234044,127878,2822,270850,Northeastern Region,Roi Et
ภาคตะวันออกเฉียงเหนือ,กาฬสินธุ์,1512095,747655,234481,3340,258092,Northeastern Region,Kalasin
ภาคตะวันออกเฉียงเหนือ,สกลนคร,2182588,266656,491860,12442,325833,Northeastern Region,Sakon Nakhon
ภาคตะวันออกเฉียงเหนือ,นครพนม,1489047,75563,401729,9893,217366,Northeastern Region,Nakhon Phanom
ภาคตะวันออกเฉียงเหนือ,มุกดาหาร,488965,350800,277221,2255,112466,Northeastern Region,Mukdahan
ภาคใต้,รวมทั้งหมด,706284,10712,21590244,50006,1406487,Southern Region,total
ภาคใต้,นครศรีธรรมราช,222352,275,2882491,12259,269694,Southern Region,Nakhon Si Thammarat
ภาคใต้,กระบี่,7741,150,1868721,1699,47772,Southern Region,Krabi
ภาคใต้,พังงา,2671,87,891620,527,52665,Southern Region,Phang-nga
ภาคใต้,ภูเก็ต,123,-,93544,526,140054,Southern Region,Phuket
ภาคใต้,สุราษฎร์ธานี,19526,695,4004774,9060,175882,Southern Region,Surat Thani
ภาคใต้,ระนอง,687,242,623290,353,13437,Southern Region,Ranong
ภาคใต้,ชุมพร,3756,5179,2249502,1993,95803,Southern Region,Chumphon
ภาคใต้,สงขลา,138741,70,2371720,6253,174302,Southern Region,Songkhla
ภาคใต้,สตูล,17552,20,681278,3529,35340,Southern Region,Satun
ภาคใต้,ตรัง,11991,200,1683581,3735,55859,Southern Region,Trang
ภาคใต้,พัทลุง,138452,3612,1174998,1866,35666,Southern Region,Phatthalung
ภาคใต้,ปัตตานี,80041,32,547869,2239,162179,Southern Region,Pattani
ภาคใต้,ยะลา,21830,50,1337276,1152,37980,Southern Region,Yala
ภาคใต้,นราธิวาส,40821,100,1179580,4815,109854,Southern Region,Narathiwat
,,,,,,,,
หมายเหตุ: ตัวเลขเบื้องต้น,,,,,,,,
Note: Preliminary figure,,,,,,,,
ที่มา: สำนักงานเศรษฐกิจการเกษตร  กระทรวงเกษตรและสหกรณ์,,,,,,,,
"Source: Office of Agricultural Economics,  Ministry of Agriculture and Cooperatives",,,,,,,,
