ตาราง 11.7 สัตว์ที่อนุญาตให้ฆ่าเป็นอาหาร จำแนกตามภาค และจังหวัด พ.ศ. 2565 - 2566,,,,,,,,,
Table 11.7 Permitted Slaughter by Region and Province: 2022 - 2023,,,,,,,,,
,,,,,,,,,
,,,,,,,,,(ตัว  Head)
ภาค,จังหวัด,โค  (Cattle)_2565 (2022),โค  (Cattle)_2566 (2023),กระบือ  (Buffalo)_2565 (2022),กระบือ  (Buffalo)_2566 (2023),สุกร  (Swine)_2565 (2022),สุกร  (Swine)_2566 (2023),Region,Province
ทั่วราชอาณาจักร,รวมทั้งหมด,416939,347109,55522,45674,10704224,15074051,Whole Kingdom,total
ภาคกลาง,รวมทั้งหมด,110145,87092,1099,1129,6497147,9594231,Central Region,total
ภาคกลาง,กรุงเทพมหานคร,1777,6123,10,-,11910,60455,Central Region,Bangkok
ภาคกลาง,สมุทรปราการ,-,86,-,-,8320,1088185,Central Region,Samut Prakan
ภาคกลาง,นนทบุรี,3205,3206,-,-,-,-,Central Region,Nonthaburi
ภาคกลาง,ปทุมธานี,38626,28395,-,-,206815,463065,Central Region,Pathum Thani
ภาคกลาง,นครปฐม,8059,7072,-,-,3242669,4363692,Central Region,Nakhon Pathom
ภาคกลาง,สมุทรสาคร,-,-,-,-,55887,80565,Central Region,Samut Sakhon
ภาคกลาง,พระนครศรีอยุธยา,3301,4118,6,6,38070,229,Central Region,Phra Nakhon Si Ayutthaya
ภาคกลาง,อ่างทอง,424,79,-,-,64102,62612,Central Region,Ang Thong
ภาคกลาง,ลพบุรี,5623,1060,-,-,579694,560457,Central Region,Lop Buri
ภาคกลาง,สิงห์บุรี,143,432,-,-,16204,26984,Central Region,Sing Buri
ภาคกลาง,ชัยนาท,150,-,90,-,6147,3981,Central Region,Chai Nat
ภาคกลาง,สระบุรี,2574,2271,-,-,226689,320699,Central Region,Saraburi
ภาคกลาง,ชลบุรี,1712,1293,98,55,242688,327245,Central Region,Chon Buri
ภาคกลาง,ระยอง,2365,2236,-,-,184558,228485,Central Region,Rayong
ภาคกลาง,จันทบุรี,12,58,-,-,147001,223721,Central Region,Chanthaburi
ภาคกลาง,ตราด,-,-,-,-,35629,34964,Central Region,Trat
ภาคกลาง,ฉะเชิงเทรา,3305,2950,-,-,646221,634663,Central Region,Chachoengsao
ภาคกลาง,ปราจีนบุรี,78,119,322,319,124005,141896,Central Region,Prachin Buri
ภาคกลาง,นครนายก,-,-,-,-,51314,56132,Central Region,Nakhon Nayok
ภาคกลาง,สระแก้ว,1647,1076,564,749,147222,174677,Central Region,Sa Kaeo
ภาคกลาง,ราชบุรี,15476,8214,-,-,165732,226302,Central Region,Ratchaburi
ภาคกลาง,กาญจนบุรี,9628,8374,4,-,92230,274326,Central Region,Kanchanaburi
ภาคกลาง,สุพรรณบุรี,2806,3455,-,-,92045,107183,Central Region,Suphan Buri
ภาคกลาง,สมุทรสงคราม,-,3,-,-,-,-,Central Region,Samut Songkhram
ภาคกลาง,เพชรบุรี,3560,3102,-,-,21552,21519,Central Region,Phetchaburi
ภาคกลาง,ประจวบคีรีขันธ์,5674,3370,5,-,90443,112194,Central Region,Prachuap Khiri Khan
ภาคเหนือ,รวมทั้งหมด,36486,37732,29774,25535,1846097,2479874,Northern Region,total
ภาคเหนือ,เชียงใหม่,3337,2626,4713,3649,494849,799305,Northern Region,Chiang Mai
ภาคเหนือ,ลำพูน,87,1096,-,-,144316,293928,Northern Region,Lamphun
ภาคเหนือ,ลำปาง,6948,7902,1875,2088,49133,43460,Northern Region,Lampang
ภาคเหนือ,อุตรดิตถ์,736,680,767,1041,40588,54284,Northern Region,Uttaradit
ภาคเหนือ,แพร่,932,1024,3829,3656,67030,68208,Northern Region,Phrae
ภาคเหนือ,น่าน,3218,1919,2605,1696,43172,48265,Northern Region,Nan
ภาคเหนือ,พะเยา,4449,1941,2263,1040,18459,14402,Northern Region,Phayao
ภาคเหนือ,เชียงราย,5430,6658,9554,7674,230956,302547,Northern Region,Chiang Rai
ภาคเหนือ,แม่ฮ่องสอน,754,720,348,318,22165,21091,Northern Region,Mae Hong Son
ภาคเหนือ,นครสวรรค์,660,532,43,-,56926,43777,Northern Region,Nakhon Sawan
ภาคเหนือ,อุทัยธานี,374,365,783,787,12466,14282,Northern Region,Uthai Thani
ภาคเหนือ,กำแพงเพชร,842,2977,66,155,248801,308112,Northern Region,Kamphaeng Phet
ภาคเหนือ,ตาก,2199,2196,14,-,100266,101619,Northern Region,Tak
ภาคเหนือ,สุโขทัย,292,349,-,51,15238,74409,Northern Region,Sukhothai
ภาคเหนือ,พิษณุโลก,-,-,1211,1214,123662,133994,Northern Region,Phitsanulok
ภาคเหนือ,พิจิตร,317,218,54,103,64073,50781,Northern Region,Phichit
ภาคเหนือ,เพชรบูรณ์,5911,6529,1649,2063,113997,107410,Northern Region,Phetchabun
ภาคตะวันออกเฉียงเหนือ,รวมทั้งหมด,225801,186793,24465,18185,1371833,2115342,Northeastern Region,total
ภาคตะวันออกเฉียงเหนือ,นครราชสีมา,29373,15428,6895,4068,227460,378372,Northeastern Region,Nakhon Ratchasima
ภาคตะวันออกเฉียงเหนือ,บุรีรัมย์,1439,1645,138,100,24403,36429,Northeastern Region,Buri Ram
ภาคตะวันออกเฉียงเหนือ,สุรินทร์,3012,2342,34,31,24010,75922,Northeastern Region,Surin
ภาคตะวันออกเฉียงเหนือ,ศรีสะเกษ,6738,5654,54,-,80034,78329,Northeastern Region,Si Sa Ket
ภาคตะวันออกเฉียงเหนือ,อุบลราชธานี,65967,10647,217,71,162636,152319,Northeastern Region,Ubon Ratchathani
ภาคตะวันออกเฉียงเหนือ,ยโสธร,5117,6916,-,1,129674,179579,Northeastern Region,Yasothon
ภาคตะวันออกเฉียงเหนือ,ชัยภูมิ,4563,7057,-,-,59031,65520,Northeastern Region,Chaiyaphum
ภาคตะวันออกเฉียงเหนือ,อำนาจเจริญ,3139,3474,398,268,6131,7104,Northeastern Region,Amnat Charoen
ภาคตะวันออกเฉียงเหนือ,หนองบัวลำภู,1401,1305,445,487,130401,135978,Northeastern Region,Nong Bua Lam Phu
ภาคตะวันออกเฉียงเหนือ,ขอนแก่น,4411,7322,426,668,39091,378465,Northeastern Region,Khon Kaen
ภาคตะวันออกเฉียงเหนือ,อุดรธานี,11423,8372,1062,198,104055,95298,Northeastern Region,Udon Thani
ภาคตะวันออกเฉียงเหนือ,เลย,4719,4500,3437,3052,16117,12501,Northeastern Region,Loei
ภาคตะวันออกเฉียงเหนือ,หนองคาย,4419,5974,11,49,82891,83445,Northeastern Region,Nong Khai
ภาคตะวันออกเฉียงเหนือ,มหาสารคาม,8019,8325,266,346,33841,33433,Northeastern Region,Maha Sarakham
ภาคตะวันออกเฉียงเหนือ,ร้อยเอ็ด,20783,12525,90,-,58979,33864,Northeastern Region,Roi Et
ภาคตะวันออกเฉียงเหนือ,กาฬสินธุ์,12189,13302,511,530,54029,53737,Northeastern Region,Kalasin
ภาคตะวันออกเฉียงเหนือ,สกลนคร,17726,17617,1311,1798,47975,49391,Northeastern Region,Sakon Nakhon
ภาคตะวันออกเฉียงเหนือ,นครพนม,7995,38250,7444,4774,50927,200832,Northeastern Region,Nakhon Phanom
ภาคตะวันออกเฉียงเหนือ,มุกดาหาร,10513,12875,192,60,19051,37297,Northeastern Region,Mukdahan
ภาคตะวันออกเฉียงเหนือ,บึงกาฬ,2855,3263,1534,1684,21097,27527,Northeastern Region,Bueng Kan
ภาคใต้,รวมทั้งหมด,44507,35492,184,825,989147,884604,Southern Region,total
ภาคใต้,นครศรีธรรมราช,6243,2505,-,150,171211,100464,Southern Region,Nakhon Si Thammarat
ภาคใต้,กระบี่,527,525,-,-,131124,108989,Southern Region,Krabi
ภาคใต้,พังงา,2000,1601,10,3,57981,34040,Southern Region,Phang-nga
ภาคใต้,ภูเก็ต,-,-,-,-,18353,22827,Southern Region,Phuket
ภาคใต้,สุราษฎร์ธานี,50,-,-,-,129628,127232,Southern Region,Surat Thani
ภาคใต้,ระนอง,-,-,-,-,26550,31880,Southern Region,Ranong
ภาคใต้,ชุมพร,255,339,-,-,20830,26390,Southern Region,Chumphon
ภาคใต้,สงขลา,6554,8808,-,30,24195,57201,Southern Region,Songkhla
ภาคใต้,สตูล,2630,1993,-,-,16901,7580,Southern Region,Satun
ภาคใต้,ตรัง,4895,-,-,-,78723,54872,Southern Region,Trang
ภาคใต้,พัทลุง,2246,2989,15,-,241333,248146,Southern Region,Phatthalung
ภาคใต้,ปัตตานี,4063,3740,61,35,9245,9968,Southern Region,Pattani
ภาคใต้,ยะลา,8040,6516,-,8,38611,31583,Southern Region,Yala
ภาคใต้,นราธิวาส,7004,6476,98,599,24462,23432,Southern Region,Narathiwat
,,,,,,,,,
ที่มา: กรมปศุสัตว์ กระทรวงเกษตรและสหกรณ์,,,,,,,,,
"Source: Department of Livestock Development, Ministry of Agriculture and Cooperatives",,,,,,,,,
